Item ID,Short Title,Title,Year,Period,Vegetated strip description info,Nation,Study country,Study location,Latitude,Longitude,Outcomes
20641478,Boutin (2006),"Comparison of the vegetation and seedbanks of soybean fields, adjacent boundaries, and hedgerows in Ontario",2006,2005-2009,hedgerow;field boundary,Canada,"Ontario, Canada","Winchester (45 05 N, 75 25 W)",45.083333,-75.416667,Biodiversity;Soil Chemistry;Soil Chemistry;Soil Chemistry;Soil Physical
20641479,Boutin (2001),Comparing weed composition in natural and planted hedgerows and in herbaceous field margins adjacent to crop fields,2001,2000-2004,hedgerow;field margin,Canada,"Québec, Canada","South-western Quebec (45 40 N, 72 40 W)",45.666667,-72.666631,Biodiversity
20641481,Boutin (2009),"Arthropod diversity as affected by agricultural management (Organic and Conventional Farming), plant species, and landscape context",2009,2005-2009,hedgerow,Canada,"Ontario, Canada","Peterborough (44.02 to 44.38 N, 78.09 to 78.73 W)",44.3,-78.533333,Biodiversity
20641482,Bowden (1977),THE DISTRIBUTION OF FLYING INSECTS IN AND NEAR A TALL HEDGEROW,1977,1975-1979,hedgerow,UK,UK,Rothamsted,51.819009,-0.360077,Biodiversity;Human Use
20641483,Bowie (2014),Effect of boundary type and season on predatory arthropods associated with field margins on New Zealand farmland,2014,2010-2014,hedge,New Zealand,New Zealand,"Lincoln University Mixed Cropping Farm (43.642S, 172.466E), Canterbury",-43.641995,172.465841,Biodiversity;Soil Physical;Soil Physical;Ecosystem Functioning
20641484,Boykin (1984),EFFECT OF BARREN SOIL BORDERS AND WEED BORDER TREATMENTS ON MOVEMENT OF THE TWOSPOTTED SPIDER MITE TETRANYCHUS-URTICAE INTO PEANUT ARACHIS-HYPOGAEA FIELDS,1984,1980-1984,weed border,USA,"North Carolina, USA","Martin, Halifax and Northampton County, North Carolina",36.036185,-77.407435,Biodiversity
20641488,Brambilla (2009),Breeding-season habitat associations of the declining Corn Bunting emberiza calandra - A potential indicator of the overall bunting richness,2009,2005-2009,hedgerow,Italy,Italy,"Northern Apennines (Lombardy, Pavia)",45.479055,9.845043,Biodiversity
20641492,Broughton (2014),Agri-environment scheme enhances small mammal diversity and abundance at the farm-scale,2014,2010-2014,field margin,UK,UK,"Hillesden Estate, Buckinghamshire (51 57 N, 1 00 W)",51.949997,-1.00002,Biodiversity
20641496,Bruggisser (2012),Direct and indirect bottom-up and top-down forces shape the abundance of the orb-web spider Argiope bruennichi,2012,2010-2014,wildflower strip,Switzerland,Switzerland,"Grandcour (46 52 18 N, 6 55 50 E)",46.871667,6.930553,Biodiversity
20641501,Bryan (1991),BIRD ABUNDANCE AND SPECIES RICHNESS IN GRASSED WATERWAYS IN IOWA USA ROWCROP FIELDS,1991,1990-1994,vegetated waterway,USA,"Iowa, USA","Story and Marshall Counties, Iowa",42.032815,-93.231866,Biodiversity;Human Use;Ecosystem Functioning
20641502,Bryan (1994),AVIAN NEST DENSITY AND SUCCESS IN GRASSED WATERWAYS IN IOWA ROWCROP FIELDS,1994,1990-1994,grassed waterway,USA,"Iowa, USA",Story and Marshall counties,42.032815,-93.231866,Biodiversity
20641513,Buner (2005),Ecologically enhanced areas – a key habitat structure for re-introduced grey partridges Perdix perdix,2005,2005-2009,wildflower strip;hedge,Switzerland,Switzerland,"Klettgau region, near Schaffhausen",47.655312,8.425003,Biodiversity
20641516,Burel (1992),Effect of landscape structure and dynamics on species diversity in hedgerow networks,1992,1990-1994,hedgerow,France,France,"Lalleu municipality, 50km south of Rennes",47.85608,-1.510827,Biodiversity
20641520,Burt (1999),Denitrification in riparian buffer zones: the role of floodplain hydrology,1999,1995-1999,buffer zone,UK,UK,"Cuddlestone Mill, River Thame near Oxford",51.752021,-1.257726,Soil Chemistry
20641522,Canters (1999),"Arthropods in grassy field margins in the Wieringermeer Scope, population development and possible consequences for farm practice",1999,1995-1999,grassy field margin,The Netherlands,Netherlands,"Wieringermeer, north-west Netherlands",52.827191,4.749373,Biodiversity
20641525,Cardinali (2014),Design of riparian buffer strips affects soil quality parameters,2014,2010-2014,riparian buffer strip,Italy,Italy,Padua University Experimen-tal Farm in the Po Valley,45.406766,11.877446,Soil Chemistry;Soil Chemistry;Soil Physical
20641526,Carnovale (2015),"Earthworm composition, diversity and biomass under three land use systems in south-eastern Australia",2015,2015-2016,shelterbelt,Australia,"New South Wales, Australia","Murrumbateman, New South Wales (34 57 0 S, 149 01 0 E)",-34.95,149.016667,Biodiversity;Soil Chemistry;Soil Chemistry;Soil Chemistry;Soil Physical;Soil Physical
20641529,Carroll (2004),Can tree shelterbelts on agricultural land reduce flood risk?,2004,2000-2004,shelterbelt,UK,UK,"Nant Pontbren, Montgomeryshire",51.500465,-0.196257,Soil Physical
20641533,Carvell (2007),Comparing the efficacy of agri-environment schemes to enhance bumble bee abundance and diversity on arable field margins,2007,2005-2009,field margin,UK,UK,"Central and eastern England (SU8389, SU5593, TL9614, TL4647, SP9761 and SE7766)",52.521106,-0.236602,Biodiversity
20641534,Carvell (2011),Bumble bee species' responses to a targeted conservation measure depend on landscape context and habitat quality,2011,2010-2014,sown patch,UK,UK,"Central and eastern England (51 10-52 56 N, 1 40-1 02 E)",52.521106,-0.236602,Biodiversity
20641536,Carvell (2006),Assessing the value of annual and perennial forage mixtures for bumblebees by direct observation and pollen analysis,2006,2005-2009,field margin,UK,UK,"North Yorkshire (54 05 N, 0 49 W)",54.083333,-0.816667,Biodiversity;Ecosystem Functioning
20641540,Caubel-Forget (2001),Contrasted dynamics of nitrate and chloride in groundwater submitted to the influence of a hedge,2001,2000-2004,hedge,France,France,"Armorican massif, 20km west of Rennes",48.000002,-2.999999,Soil Chemistry;Soil Chemistry
20641548,Chendev (2015),Accumulation of organic carbon in chernozems (Mollisols) under shelterbelts in Russia and the United States,2015,2015-2016,shelterbelt,Multiple,"North Dakota, South Dakota, Nebraska, USA and Central Federal District, Russia","""Reynolds key site in North Dakota (47 42 N, 97 11 W), the Huron key site in South Dakota (44 16 N, 98 15 W), and the Norfolk key site in Nebraska (42 03 N, 97 22 W)"" and ""Alekhin Central Chernozemic Reserve (the Streletskaya Steppe area, Kursk oblast, 51 32 N, 36 05 E), near and within the Belogor’e Reserve (the Yamskaya Steppe area, Belgorod oblast, 51 11 N, 37 37 E), and in the Kamennaya Steppe (the Kamennaya Steppe area, Voronezh oblast, 51 02 N, 40 44 E)""",multiple,multiple,Soil Chemistry;Soil Physical
20641564,Clausen (2000),Ecosystem restoration - Water quality changes from riparian buffer restoration in Connecticut,2000,2000-2004,riparian buffer,USA,"Conneticut, USA","Muddy brook, north-east Conneticut.",41.883458,-71.982744,Soil Chemistry;Soil Chemistry;Soil Chemistry;Soil Physical;Soil Physical
20641565,Clews (2010),Appraising riparian management effects on benthic macroinvertebrates in the Wye River system,2010,2010-2014,riparian zone,UK,UK,River Wye,52.036856,-3.158383,Biodiversity
20641572,Collins (2003),A 5-year comparison of overwintering polyphagous predator densities within a beetle bank and two conventional hedgebanks,2003,2000-2004,beetle bank;conventional hedgebank,UK,UK,"Loddington Estate, Leicestershire",52.613653,-0.83285,Biodiversity
20641573,Collins (2004),Attenuation of effluent-derived faecal microbes in grass buffer strips,2004,2000-2004,grass buffer strip,New Zealand,New Zealand,"Ruakura Research Farm, Hamilton",-37.77414,175.308965,Pollution
20641575,Conover (2009),BREEDING BIRD RESPONSE TO FIELD BORDER PRESENCE AND WIDTH,2009,2005-2009,field border,USA,"Mississippi, USA","Lower Mississippi Alluvial Valley, Bird Conservation Region 26, Sunflower County",33.526164,-90.677305,Biodiversity
20641578,Cornulier (2011),Bayesian reconstitution of environmental change from disparate historical records: Hedgerow loss and farmland bird declines,2011,2010-2014,hedgerow,UK,UK,Lowland England,51.59749,0.237196,Biodiversity
20641584,Crittenden (2015),Earthworm assemblages as affected by field margin strips and tillage intensity: An on-farm approach,2015,2015-2016,field margin strip,The Netherlands,The Netherlands,3 private farms in the eastern part of Hoeksche Waard and at PPO Westmaas research farm of Wageningen University and Research Centre,51.768341,4.473614,Biodiversity
20641586,Croxton (2002),A comparison of green lanes and field margins as bumblebee habitat in an arable landscape,2002,2000-2004,green lane,UK,UK,"15 green lane sites, situated within a 12 km radius of Little Gidding on the Cambridgeshire–Northamptonshire border",52.423773,-0.336843,Biodiversity;Ecosystem Functioning
20641592,Dandie (2011),"Abundance, diversity and functional gene expression of denitrifier communities in adjacent riparian and agricultural zones",2011,2010-2014,riparian zone,Canada,"Nova Scotia, Canada","Thomas Brook Watershed of the Annapolis Valley, (N4504.886 W6445.318)",45.037615,-64.745146,Soil Chemistry;Soil Chemistry;Soil Physical;Soil Physical;Pollution;Ecosystem Functioning
20641593,Danielson (2000),Bean leaf beetle (Coleoptera: Chrysomelidae) abundance in soybean fields protected and unprotected by shelterbelts,2000,2000-2004,shelterbelt,USA,"Nebraska, USA",University of Nebraska Agricultural Research and Development Center Agroforestry Farm in Saunders Co.,41.181296,-96.660672,Human Use
20641596,Davey (2010),Assessing the impact of Entry Level Stewardship on lowland farmland birds in England,2010,2010-2014,hedge;ditch;hedge and ditch;boundary;arable margin;grass margin;margin;wild bird mix,UK,UK,Lowland England,51.59749,0.237196,Biodiversity
20641598,Davis (1967),Bird feeding preferences among different crops in an area near Huntingdon,1967,1965-1969,hedge,UK,UK,4 miles south-west of Huntingdon,52.24107,-0.185301,Biodiversity
20641601,De Cauwer (2005),Biodiversity and agro-ecology in field margins,2005,2005-2009,field margin,Belgium,Belgium,"Poperinge (50 52 N, 2 45 E) and Beernem (51 09 N, 3 20 E)",50.870109,2.753093,Biodiversity;Soil Chemistry;Human Use
20641602,De Cauwer (2006),Disturbance effects on early succession of field margins along the shaded and unshaded side of a tree lane,2006,2005-2009,field margin,Belgium,Belgium,"Beernem (51 09 N, 3 20 E), West Flanders",51.150557,3.332071,Biodiversity
20641604,De Cauwer (2006),Effect of margin strips on soil mineral nitrogen and plant biodiversity,2006,2005-2009,margin strip,Belgium,Belgium,"Poperinge (50 52 N, 2 45 E) and Beernem (51 09 N, 3 20 E)",50.870109,2.753093,Biodiversity;Soil Chemistry
20641605,De Cauwer (2006),Dry matter yield and herbage quality of field margin vegetation as a function of vegetation development and management regime,2006,2005-2009,field margin,Belgium,Belgium,"Poperinge (50 52 N, 2 45 E) and Beernem (51 09 N, 3 20 E)",50.870109,2.753093,Biodiversity;Human Use
20641609,Deasy (2010),Contributing understanding of mitigation options for phosphorus and sediment to a review of the efficacy of contemporary agricultural stewardship measures,2010,2010-2014,beetlebank,UK,UK,"Mitigation Options for Phosphorus and Sediment (MOPS) project [Loddington, Leicestershire]",52.398432,-0.803365,Soil Chemistry;Soil Chemistry;Soil Physical;Soil Physical
20641613,Delattre (2013),An agri-environmental scheme enhances butterfly dispersal in European agricultural landscapes,2013,2010-2014,grassy field margin,France,France,"Brittany (48 36 N, 1 32 W)",48.6,-1.53333,Biodiversity
20641615,Denisow (2007),The anthropogenic refuge areas for bee flora in agricultural landscape,2007,2005-2009,field margin,Poland,Poland,"Konopnica and Jastków, Lubin Upland, Nałęczów Plateau and the Bełżyce Plain (51 96-50 86 N and 20 28 - 22 06 E)",50.979947,21.666133,Biodiversity;Ecosystem Functioning
20641626,dos (2015),"Assessing the importance of the riparian zone for stream fish communities in a sugarcane dominated landscape (Piracicaba River Basin, Southeast Brazil)",2015,2015-2016,buffer zone,Brazil,"São Paulo, Brazil","Piracicaba River Basin, São Paulo State",-22.685623,-47.666676,Biodiversity;Soil Chemistry;Soil Chemistry;Soil Chemistry
20641632,Dosskey (2007),Change in filter strip performance over ten years,2007,2005-2009,filter strip,USA,"Nebraska, USA","University of Nebraska’s Agricultural Research and Development Center, Mead, Nebraska",41.145476,-96.498239,Soil Chemistry;Soil Chemistry;Soil Physical;Soil Chemistry;Soil Physical
20641633,Dosskey (2015),AgBufferBuilder: A geographic information system (GIS) tool for precision design and performance assessment of filter strips,2015,2015-2016,filter strip,USA,"Iowa, USA","Jasper County, Iowa",41.641488,-93.017604,Soil Physical
20641636,Dousset (2010),"Effect of grass cover on water and pesticide transport through undisturbed soil columns, comparison with field study (Morcille watershed, Beaujolais)",2010,2010-2014,vegetated buffer zone,France,France,St Joseph (Beaujolais),46.174921,4.636525,Soil Chemistry;Soil Physical;Soil Physical;Pollution
20641645,Dufková (2007),Determination of wind erosion next to shelterbelts,2007,2005-2009,shelterbelt,Czech Republic,Czech Republic,"Dolní Dunajovice, Micmanice and Suchá Loz, Southern Moravia",48.84431,16.627301,Soil Physical;Soil Physical;Soil Physical;Human Use
20641658,Evans (2014),Assessing Multiregion Avian Benefits from Strategically Targeted Agricultural Buffers,2014,2010-2014,agricultural buffer,USA,Central and eastern USA,14 states across central and eastern USA,multiple,multiple,Biodiversity
20641659,Evans (2014),Avian response to conservation buffers in agricultural landscapes during winter,2014,2010-2014,conservation buffer,USA,"Arkansas, Kentucky and Mississippi, USA","Arkansas, Kentucky and Mississippi",multiple,multiple,Biodiversity
20641661,Ewald (2010),The effect of agri-environment schemes on grey partridges at the farm level in England,2010,2010-2014,beetle bank;grass strip,UK,UK,UK-wide,52.831319,-1.770154,Human Use;Recreation
20641662,Eyre (2011),Crop and field boundary influences on the activity of a wide range of beneficial invertebrate groups on a split conventional/organic farm in northern England,2011,2010-2014,field boundary,UK,UK,"Nafferton Farm, Northumberland",54.985744,-1.898969,Biodiversity
20641663,Eyre (2013),"Crop, field boundary, productivity and disturbance influences on ground beetles (Coleoptera, Carabidae) in the agroecosystem",2013,2010-2014,field boundary,UK,UK,Nafferton Farm in south Northumberland,54.985744,-1.898969,Biodiversity
20641664,Faanes (1982),Avian use of Sheyenne Lake and associated habitats in central North Dakota,1982,1980-1984,shelterbelt,USA,"North Dakota, USA","Sheyenne Lake, near Harvey",47.76972,-99.9354,Biodiversity
20641677,Fennessy (2006),Breeding densities of Robin Erithacus rubecula in different habitats: The importance of hedgerow structure,2006,2005-2009,hedgerow,Ireland,Ireland,Cork and Limerick counties,52.21911,-8.838033,Biodiversity
20641682,Field (2005),Agri-environment schemes and butterflies: the utilisation of 6 m grass margins,2005,2005-2009,grass margin,UK,UK,"Writtle College farm, Chelmsford and Greenstead Green farm, Halstead, Essex",51.734133,0.467421,Biodiversity
20641683,Field (2006),Countryside Stewardship Scheme and butterflies: A study of plant and butterfly species richness,2006,2005-2009,grass margin,UK,UK,"Writtle College farm, Chelmsford, Greenstead Green farm, Halstead and Gorrells Farm, Highwood, Chelmsford, Essex",51.734133,0.467421,Biodiversity
20641684,Field (2007),Agri-environment schemes and butterflies: the utilisation of two metre arable field margins,2007,2005-2009,field margin,UK,UK,"""Writtle College farm, Chelmsford (NGR: TL670070); Greenstead Green farm, Halstead (NGR: TL810280) and Gorrells farm, Highwood (NGR: TL630036)"", Essex",51.734133,0.467421,Biodiversity
20641685,Fiener (2003),Concept and effects of a multi-purpose grassed waterway,2003,2000-2004,grassed waterway,Germany,Germany,"Munich Research Alliance on Agro-Ecosystems (FAM) farm, Munich",48.135126,11.58198,Biodiversity;Soil Chemistry;Soil Physical;Soil Physical;Human Use
20641687,Fischer (2010),Assemblage and Population-Level Responses of Stream Fish to Riparian Buffers at Multiple Spatial Scales,2010,2010-2014,riparian buffer,USA,"Iowa, USA","Bear Creek, Long Dick Creek and Keigley Branch Creek, central Iowa",43.427125,-91.503083,Biodiversity;Ecosystem Functioning
20641695,Fortier (2010),Biomass and volume yield after 6 years in multiclonal hybrid poplar riparian buffer strips,2010,2010-2014,riparian buffer,Canada,"Québec, Canada","Roxton Falls, Magog, Bromptonville and St-Isidore-de-Clifton, Eastern Townships region of southern Quebec",45.316031,-72.194056,Human Use
20641696,Fortier (2015),"Biomass carbon, nitrogen and phosphorus stocks in hybrid poplar buffers, herbaceous buffers and natural woodlots in the riparian zone on agricultural land",2015,2015-2016,buffer,Canada,"Québec, Canada","Bromptonville, Magog, Roxton Falls, St-Isidore-de-Clifton",45.316031,-72.194056,Soil Chemistry;Soil Chemistry;Soil Chemistry
20641698,Fournier (2001),Activity and satiation state in Pterostichus melanarius: an experiment in different agricultural habitats,2001,2000-2004,hedge,France,France,"Beauce (48 22 N, 1 45 W)",48.366532,-1.750244,Biodiversity
20641699,Fox (2013),Conservation Buffers and Ecological Weed Management in Southeast Organic Cropping Systems: Weed Seedbanks and Weed Seed Predators,2013,2010-2014,conservation buffer,USA,"North Carolina, USA",Center for Environmental Farming System’s Organic Research Unit in Goldsboro,35.384884,-77.992765,Biodiversity
20641700,Fox (2013),Crop and field border effects on weed seed predation in the southeastern US coastal plain,2013,2010-2014,field border,USA,"North Carolina, USA",Center for Environmental Farming Systems’ (CEFS) Organic Research Unit (ORU) in Goldsboro,35.384884,-77.992765,Biodiversity;Human Use
20641703,Frank (1998),"Attractiveness of sown weed strips on hoverflies (Syrphidae, Diptera), butterflies (Rhopalocera, Lepidoptera), wild bees (Apoidea, Hymenoptera) and thread-waisted wasps (Sphecidae, Hymenoptera)",1998,1995-1999,weed strip,Switzerland,Switzerland,"Zollikofen, Bern",46.99826,7.451332,Biodiversity
20641704,Frank (1999),"Density of adult hoverflies (Dipt., Syrphidae) in sown weed strips acid adjacent fields",1999,1995-1999,weed strip;field boundary,Switzerland,Switzerland,"Zollikofen, Bern",46.99826,7.451332,Biodiversity
20641711,Fuller (2001),Distributions of birds in lowland agricultural landscapes of England and Wales: How distinctive are bird communities of hedgerows and woodland?,2001,2000-2004,hedgerow,UK,UK,Country-wide,52.831319,-1.770154,Biodiversity
20641718,Garbutt (2002),Changes in the botanical diversity of a species rich ancient hedgerow between two surveys (1971-1998),2002,2000-2004,hedgerow,UK,UK,"Judith’s Hedge, Cambridgeshire (52 24N, 0 14W)",52.399988,-0.233415,Biodiversity
20641719,García (2000),"Density, distribution and dispersal of the carabid beetle Nebria brevicollis in two adjacent cereal fields",2000,2000-2004,hedgerow,UK,UK,"""Long Ashton Research Station in the west of England (OS grid reference: ST537693)""",52.086151,-2.72219,Biodiversity
20641732,Gelling (2007),Are hedgerows the route to increased farmland small mammal density? Use of hedgerows in British pastoral habitats,2007,2005-2009,hedgerow,UK,UK,"Four geographical areas: Staffordshire/ Derbyshire (Central England, 53 4 N; 1 51 W), Carmarthenshire (SW Wales, 51 49 N; 4 46 W), Gwent (S Wales/England border, 51 44 N; 2 54 W), and North Somerset (SE England, 51 20 N; 2 46 W).",51.777464,-1.344513,Biodiversity
20641738,Gill (2013),Development of best-practices for conserving beneficial insects within Iowa's agricultural landscape,2013,2010-2014,buffer strip,USA,"Iowa, USA","Iowa State University’s Field Extension Education Laboratory (FEEL) located in Boone County, Iowa (42 00.318 N, 93 47.272 W)",42.0053,-93.787867,Biodiversity;Ecosystem Functioning
20641740,Gillings (1998),Changes in bird populations on sample lowland English farms in relation to loss of hedgerows and other non-crop habitats,1998,1995-1999,hedgerow,UK,UK,"UK (national grid references: TF03, TF90, SP91, SK60, ST20, TQ09, SK64, SU91, TL37, SP93, SU88)",53.213985,-2.005765,Biodiversity
20641744,Green (1994),The distribution of passerine birds in hedgerows during the breeding season in relation to characteristics of the hedgerow and adjacent farmland,1994,1990-1994,hedgerow,UK,UK,Not stated,52.831319,-1.770154,Biodiversity
20641752,Grover (1972),CHEMICAL CONTROL OF WEEDS IN NEWLY PLANTED SHELTERBELTS,1972,1970-1974,shelterbelt,Canada,"Saskatchewan, Canada",Regina,50.445211,-104.618894,Biodiversity;Ecosystem Functioning
20641763,Haaland (2010),Butterflies and bumblebees in greenways and sown wildflower strips in southern Sweden,2010,2010-2014,greenway;wildflower strip,Sweden,Sweden,"Lund, Arendala, Tottarp, Alnarp, Skåne",55.639635,13.151979,Biodiversity;Ecosystem Functioning
20641772,Hao (2015),Chloride concentration distribution under oak hedgerow: an indicator of the water-uptake zone of tree roots?,2015,2015-2016,hedgerow,France,France,"Pont Lagot site, 5 km west of Rennes, Armorican Massif (4807′50″N, 143′23″W)",48.116691,-1.716642,Soil Chemistry
20641793,Helling (2015),Economic Analysis of Climate Change Best Management Practices in Vermont Agriculture,2015,2015-2016,buffer strip,USA,"Vermont, USA",Vermont,43.862585,-72.805611,Human Use
20641795,Helliwell (2011),An assessment of the nitrate leaching risk for different buffer strip establishments,2011,2010-2014,buffer strip,UK,UK,"University of Nottingham’s experimental farms at Sutton Bonington, Leicestershire (UK) and Bunny, Nottinghamshire (UK)",52.808683,-1.141438,Soil Chemistry
20641798,Hermann (2013),Correlations between wireworm damages in potato fields and landscape structure at different scales,2013,2010-2014,grassy field margin,Austria,Austria,Weinviertel and Waldviertel,48.368108,16.621832,Human Use
