abandon
abat
abat non
assemblag stream
assemblag structur
assemblag sward
assess
assess abil
assess benefit
assess compar
assess cost
assess date
assess ecolog
assess effect
assess general
assess groundwat
assess habitat
assess impact
assess import
assess influenc
assess maiz
assess method
assess methodolog
assess project
assess relat
assess relationship
assess risk
assess role
assess season
assess threat
assess total
assess use
assess valu
assess water
assess wood
assign
assimil
assist
associ
associ abund
associ concentr
associ contamin
associ field
associ grassland
associ habitat
associ hedgerow
associ higher
associ increas
associ landscap
associ number
associ plant
associ sediment
associ soil
associ specif
associ veget
assum
assum nha
assumpt
ate
ater
atmospher
atra
atrazin
atrazin deethylatrazin
atrazin desethylatrazin
atrazin metolachlor
atrazin ratio
atricapillus
attach
attach forest
attempt
attent
attent paid
attent studi
attent temper
attenu
attenu capabl
attenu concentr
attract
attract flower
attract forag
attract higher
attract mani
attribut
attribut account
attribut agricultur
attribut field
attribut high
attribut includ
attribut sole
auchenorrhyncha
augment
augment number
august
australia
austria
author
autocorrel
autom
autotroph
autumn
autumn cut
autumn hedgerow
autumn mean
autumn spring
autumn summer
autumn winter
autumnsown
autumnsown cereal
avail
avail catchment
avail differ
avail floral
avail flower
avail food
avail habitat
avail local
avail nectar
avail pollin
avail prefer
avail suitabl
avena
averag
averag annual
averag buffer
averag coeffici
averag concentr
averag greater
averag inflow
averag overal
averag respect
averag runoff
averag sediment
averag slope
averag total
averag width
averag yield
avian
avian communiti
avian conserv
avian densiti
avian popul
avian speci
avian use
avifauna
avoid
avoid eutroph
avoid linear
avoid possibl
awar
away
away crop
away stream
axe
axi
background
backwat
bacteri
bacteri communiti
bacteri contamin
bacteria
bacteria escherichia
bacteria fcb
bacteria level
bacteria measur
bag
bait
balanc
balanc incomplet
balteatus
band
bank
bank clear
bank differ
bank eros
bank veget
bank vole
bare
bare ground
bare soil
barley
barley crop
barn
barren
barrier
barrier form
barrier hedg
barrier limit
basal
basal area
base
base agronom
base circumfer
base conserv
base flow
base hedg
base observ
base primarili
base result
base studi
base survey
base usda
baselin
basi
basic
basin
bat
bat popul
bat speci
bavaria
bavaria south
bayesian
bean
bear
bear creek
beat
beauti
becam
becaus
becaus accumul
becaus bird
becaus high
becaus mani
becaus provid
becaus reduc
becom
becom common
becom effect
becom import
becom increas
becom problem
bed
bee
bee bombus
bee bumblebe
bee densiti
bee forag
bee speci
bee wasp
beef
beef cattl
beet
beetl
beetl abund
beetl activ
beetl activitydens
beetl assemblag
beetl bank
beetl captur
beetl caught
beetl communiti
beetl differ
beetl dure
beetl greatest
beetl meligeth
beetl polyphag
beetl pterostichus
beetl sampl
beetl speci
beetl spider
beetl studi
beetl true
befor
befor enter
befor june
befor plant
before–aft
began
begin
behav
behavior
behaviour
belgium
believ
belong
belowground
belt
beneath
beneath buffer
beneath switchgrass
benefici
benefici arthropod
benefici insect
benefici invertebr
benefici predat
benefici speci
benefici syrphid
benefit
benefit biodivers
benefit bumblebe
benefit econom
benefit farmer
benefit field
benefit grassland
benefit high
benefit higher
benefit howev
benefit increas
benefit intens
benefit investig
benefit local
benefit major
benefit manag
benefit requir
benefit riparian
benefit societi
benefit test
benefit varieti
benefit wildlif
benthic
benthic macroinvertebr
bermudagrass
bern
bern switzerland
besid
best
best explain
best manag
best perform
best predictor
better
better estim
better understand
bias
bibliograph
bibliograph refer
bicolor
biennial
bigger
bioassay
biochem
biocontrol
biodivers
biodivers agricultur
biodivers agroecosystem
biodivers arabl
biodivers benefit
biodivers conserv
biodivers declin
biodivers differ
biodivers document
biodivers effect
biodivers enhanc
biodivers europ
biodivers farm
biodivers farmland
biodivers gain
biodivers general
biodivers hedg
biodivers howev
biodivers intens
biodivers loss
biodivers manag
biodivers margin
biodivers structur
biodivers sustain
biodivers valu
biogeochem
biogeochem barrier
biolog
biolog activ
biolog control
biolog divers
biolog effect
biolog garten
biolog includ
biolog pest
biolog resourc
biomass
biomass content
biomass densiti
biomass determin
biomass earthworm
biomass estim
biomass increas
biomass invertebr
biomass pool
biomass poplar
biomass product
biomass rang
biomass result
biomass root
biomass shelterbelt
biomass soil
biomass speci
biophys
biophys condit
biota
biotic
biotic abiot
bird
bird abund
bird agricultur
bird bird
bird breed
bird census
bird communiti
bird compar
bird conserv
bird damag
bird densiti
bird howev
bird key
bird mammal
bird manag
bird number
bird plant
bird popul
bird rich
bird seed
bird small
bird speci
bird studi
bird survey
bird territori
bird use
bird variabl
bird wetland
bird widespread
birdsfoot
birdsfoot trefoil
black
blackbird
blackbird agelaius
blackwal
blarina
blarina brevicauda
block
block cut
block design
block univers
bloom
blow
blue
blue tit
blueberri
bmp
bmps
bobwhit
bobwhit quail
bodi
bodi size
bombus
bombus speci
bombus spp
boost
border
border adjac
border bird
border border
border control
border cotton
border crop
border differ
border edg
border effect
border establish
border field
border flower
border lack
border like
border manag
border nonbord
border overal
border plant
border presenc
border signific
border stream
border treatment
border type
border winter
boreal
borer
borer ostrinia
bos
bos taurus
botan
botan composit
botan divers
bottomland
bottomland hedg
bound
boundari
boundari affect
boundari attribut
boundari centr
boundari consist
boundari contain
boundari crop
boundari data
boundari establish
boundari evalu
boundari field
boundari flora
boundari habitat
boundari hedg
boundari height
boundari import
boundari individu
boundari manag
boundari margin
boundari onli
boundari organ
boundari plant
boundari speci
boundari strip
boundari structur
boundari studi
boundari taken
boundari transect
boundari tree
boundari type
boundari use
boundari veget
boundari width
boyer
boyer river
brambl
brassica
brassica crop
brassica napus
brassica rapa
bray
break
breakthrough
breakthrough curv
breastheight
breastheight rsquar
breed
breed bird
breed densiti
breed habitat
breed product
breed season
breed skylark
breed speci
breed success
breed yellowhamm
brevicauda
brevicolli
bring
britain
british
british columbia
brittani
brittani franc
broad
broad rang
broader
broadleaf
broadleav
broadspectrum
brome
brome bromus
brome grass
bromegrass
bromegrass bromus
bromid
bromus
bromus inermi
bromus spp
brood
brought
brown
brussel
brussel sprout
bryophyt
bse
bse low
buckwheat
buckwheat fagopyrum
budget
buffer
buffer abl
buffer adjac
buffer agb
buffer agricultur
buffer agroforestri
buffer approxim
buffer area
buffer attribut
buffer best
buffer buffer
buffer combin
buffer compar
buffer compos
buffer consist
buffer contain
buffer contribut
buffer control
buffer crop
buffer cropland
buffer decreas
buffer design
buffer differ
buffer domin
buffer effect
buffer enrol
buffer establish
buffer evalu
buffer examin
buffer field
buffer filter
buffer forest
buffer grass
buffer ground
buffer import
buffer improv
buffer increas
buffer instream
buffer instrument
buffer intens
buffer intercept
buffer landscap
buffer length
buffer like
buffer locat
buffer manag
buffer measur
buffer mitig
buffer natur
buffer negat
buffer non
buffer nutrient
buffer object
buffer onli
buffer pastur
buffer perform
buffer placement
buffer plant
buffer promot
buffer reduc
buffer regress
buffer remov
buffer requir
buffer restor
buffer retain
buffer row
buffer rowcrop
buffer runoff
buffer sampl
buffer shown
buffer signific
buffer site
buffer size
buffer soil
buffer southeastern
buffer stream
buffer strip
buffer studi
buffer total
buffer trade
buffer trap
buffer treatment
buffer type
buffer upland
buffer use
buffer veget
buffer veri
buffer warmseason
buffer watersh
buffer wide
buffer width
buffer zone
bug
bug signific
build
built
bulk
bulk densiti
bumbl
bumbl bee
bumblebe
bumblebe abund
bumblebe bombus
bumblebe butterfli
bumblebe farmland
bumblebe pollen
bumblebe popul
bumblebe solitari
bumblebe speci
bunt
bunt emberiza
burn
burn disk
bush
butterfli
butterfli abund
butterfli bumblebe
butterfli communiti
butterfli conserv
butterfli did
butterfli import
butterfli lepidoptera
butterfli monitor
butterfli speci
butterfli studi
bypass
bzs
bzs studi
cabbag
cabbag pest
cabbag white
cadastr
cadastr area
cage
calandra
calcar
calcium
calcium magnesium
calcul
calcul model
calibr
calibr model
calibr valid
california
cambisol
cambridgeshir
canada
canada main
canadian
canadian prairi
candid
candid biolog
cane
cane arundinaria
cane buffer
cane forest
cannabina
canon
canon correl
canon correspond
canopi
canopi closur
canopi cover
canopi sticki
canterburi
canterburi plain
capabl
capac
capac reduc
capillari
capsul
capsul territori
captur
capturerecaptur
carabid
carabid activitydens
carabid assemblag
carabid beetl
carabid communiti
carabid divers
carabid popul
carabid speci
carabid spider
carabid staphylinid
carabida
carabida aranea
carabida coccinellida
carabus
caragana
carbon
carbon avail
carbon content
carbon doc
carbon nitrogen
carbon sequestr
carbon soil
carbon storag
carbon total
card
cardin
cardu
cardu cannabina
care
care consid
carolina
carolina agricultur
carolina coastal
carolina nutrient
carolina riparian
carri
carri agricultur
carri evalu
carri low
case
case exit
case studi
cash
cash crop
catalog
catch
catchment
catchment buffer
catchment determin
catchment establish
catchment land
catchment region
catchment scale
categor
categori
caterpillar
cation
cattl
cattl access
cattl bos
cattl feedlot
cattl fenc
cattl graze
cattl manur
cattl slurri
caught
caught pitfal
caught sweep
caus
caus consider
caus declin
caus eutroph
caus natur
caus nest
caus popul
caus sever
caus substanti
caviti
cavitynest
census
centaurea
center
center field
centr
centr crop
centr field
central
central europ
central european
central field
central germani
central iowa
central north
central spain
centuri
cereal
cereal aphid
cereal area
cereal crop
cereal field
certain
certain speci
certainti
certainti mean
certainti predict
certainti requir
cessat
chaffinch
chain
chain reaction
challeng
chang
chang agricultur
chang caus
chang clear
chang current
chang densiti
chang dure
chang environment
chang habitat
chang hedg
chang impact
chang import
chang includ
chang increas
chang ipcc
chang land
chang landscap
chang macroinvertebr
chang manag
chang need
chang observ
chang occur
chang result
chang riparian
chang signific
chang soil
chang speci
chang specif
chang time
chang total
chang veget
channel
channel morpholog
channel result
channel stabil
channel veget
charact
character
characteris
characterist
characterist affect
characterist crop
characterist effect
characterist field
characterist growth
characterist hedgerow
characterist observ
characterist speci
characterist use
characterist veget
check
chelmsford
chemic
chemic oxygen
chemic physic
chemic substanc
chemic time
chemistri
chernozem
cherri
chick
chilopoda
china
chip
chlapowski
chlapowski landscap
chlorid
chlorid concentr
chlorpyrifo
choic
choic establish
choos
chosen
chronic
cie
cie rich
cinereus
cinereus blarina
circl
circul
circular
circumfer
circumfer breastheight
circumst
cirsium
cirsium arvens
citi
citrinella
clade
clariti
class
class netherland
classic
classif
classifi
classifi accord
clay
clay content
clay loam
clay particl
clay soil
clayey
claypan
claypan soil
clear
clear abund
clear demonstr
clear differ
clear ditch
clear higher
clear increas
clethrionomi
clethrionomi gapperi
clethrionomi glareolus
click
climat
climat chang
climat condit
climat factor
climat soil
clip
clone
close
close correl
close link
close relat
closer
closer examin
closest
closur
clover
clover grass
clover trifolium
cluster
cluster analysi
clutch
cl−
cl− concentr
coars
coarser
coastal
coastal plain
coccinellid
coccinellid abund
coccinellid predat
coccinellida
codl
codl moth
coeffici
coeffici determin
coexist
coincid
cold
coleoptera
coleopteran
coli
coli concentr
coliform
coliform bacteria
coliform number
collaps
collect
collect area
collect buffer
collect day
collect downstream
collect dure
collect field
collect groundwat
collect initi
collect measur
collect pitfal
collect runoff
collect shelterbelt
collect site
collect soil
collect transect
collect use
collector
colleg
collembola
collembolan
collurio
colon
coloni
colonis
columbia
columbia canada
column
column transport
combin
combin approach
combin data
combin effect
combin manag
combin nitrogen
combin scarif
combin soil
come
come agricultur
come cropland
comment
commerci
commerci farm
common
common agricultur
common bird
common buffer
common bumblebe
common consequ
common featur
common field
common practic
common shrew
common speci
common use
common weed
common whitethroat
common widespread
commonest
commonwealth
communi
communi lesser
communiti
communiti abund
communiti agricultur
communiti arabl
communiti assemblag
communiti assess
communiti compar
communiti composit
communiti determin
communiti differ
communiti domin
communiti field
communiti hedg
communiti hedgerow
communiti higher
communiti includ
communiti measur
communiti natur
communiti onli
communiti remain
communiti respond
communiti sampl
communiti shift
communiti speci
communiti spider
communiti structur
communiti type
communiti use
communiti year
compar
compar adjac
compar area
compar buffer
compar combin
compar composit
compar control
compar convent
compar crop
compar cultiv
compar densiti
compar differ
compar effect
compar field
compar grass
compar high
compar higher
compar impact
compar low
compar mow
compar natur
compar nob
compar non
compar older
compar onli
compar pastur
compar plot
compar restor
compar result
compar riparian
compar runoff
compar similar
compar site
compar soil
compar speci
compar studi
compar treatment
compar type
compar use
compar watersh
compar wide
compar windbreak
compar year
comparison
comparison convent
comparison monitor
comparison previous
comparison site
compart
compens
compens area
compet
competit
competit grass
competit mediat
complement
complet
complet block
complet random
complex
complex agricultur
complex grassland
complex interact
complex landscap
complex soil
complex veget
complianc
compon
compon agricultur
compon analysi
compon biodivers
compon construct
compon field
compon landscap
compon overal
compon potenti
compos
compos crop
compos grass
compos main
compos tree
composit
composit boundari
composit chang
composit differ
composit divers
composit field
composit function
composit hedgerow
composit herbac
composit indic
composit individu
composit landscap
composit overal
composit plant
composit plot
composit relat
composit sampl
composit similar
composit soil
composit speci
composit studi
composit vari
composit veget
compost
compound
comprehens
compris
compris hedgerow
compris speci
compris treatment
compromis
comput
comput model
comput tomographi
concentr
concentr abat
concentr affect
concentr alway
concentr averag
concentr calcium
concentr chemic
concentr daphnia
concentr data
concentr decreas
concentr detect
concentr differ
concentr dilut
concentr dissolv
concentr effect
concentr flow
concentr greater
concentr ground
concentr groundwat
concentr increas
concentr load
concentr mass
concentr measur
concentr mgl
concentr monitor
concentr nitrat
concentr observ
concentr occur
concentr overland
concentr percent
concentr posit
concentr predat
concentr rang
concentr reduct
concentr respect
concentr result
concentr runoff
concentr sampl
concentr sediment
concentr shallow
concentr signific
concentr soil
concentr sometim
concentr stream
concentr subsurfac
concentr surfac
concentr tkn
concentr upper
concentr water
concept
concern
concern agricultur
concern field
conclud
conclud measur
conclud small
conclud studi
conclus
condit
condit creat
condit differ
condit especi
condit factor
condit field
condit larg
condit maximum
condit plant
condit plot
condit requir
condit runoff
condit signific
condit stream
condit structur
condit studi
condit use
conduct
conduct assess
conduct determin
conduct evalu
conduct examin
conduct field
conduct increas
conduct iowa
conduct measur
conduct northeast
conduct site
conduct slope
conduct use
conduct year
confer
configur
confin
confirm
confirm import
conflict
confound
conif
conifer
conifer tree
conjunct
connect
connect enhanc
connect forest
connect habitat
connect hedg
connect landscap
connected
consecut
consecut day
consecut year
consequ
conserv
conserv agricultur
conserv agroecosystem
conserv benefit
conserv biocontrol
conserv biodivers
conserv biolog
conserv buffer
conserv concern
conserv crop
conserv effect
conserv effort
conserv environment
conserv establish
conserv farmland
conserv field
conserv function
conserv headland
conserv invertebr
conserv land
conserv landus
conserv manag
conserv measur
conserv natur
conserv object
conserv plan
conserv polici
conserv pollin
conserv potenti
conserv practic
conserv prioriti
conserv reserv
conserv restor
conserv soil
conserv status
conserv strategi
conserv strip
conserv studi
conserv techniqu
conserv tillag
conserv tool
conserv valu
conserv water
conservationist
consid
consid estim
consid futur
consid import
consid local
consid spatial
consid suitabl
consid veget
consider
consider damag
consider farm
consider habitat
consider landscap
consider potenti
consider variat
consist
consist grass
consist manur
consist pattern
consist posit
consist primarili
consist row
consist sampl
consist speci
consist treatment
consist tree
consist year
consolid
constant
constitu
constitut
constitut major
constitut small
constrain
constraint
construct
construct channel
construct wetland
consum
contact
contain
contain buffer
contain flower
contain high
contain larg
contain lowest
contain nativ
contain nectar
contain relat
contain signific
contain sown
contain speci
contain tree
contamin
contamin concentr
contamin runoff
contamin surfac
contemporari
contemporari agricultur
content
content determin
content download
content import
content increas
content microbi
content organ
content root
content soil
context
context affect
context influenc
context studi
contigu
continu
continu cultiv
continu graze
continu landscap
continu measur
continu rotat
continu stream
continu suppli
contour
contour cultiv
contour hedgerow
contour hillslop
contour strip
contour watersh
contract
contrari
contrari expect
contrast
contrast effect
contrast riparian
contrast year
contribut
contribut abund
contribut agricultur
contribut conserv
contribut declin
contribut elev
contribut field
contribut higher
contribut increas
contribut pest
contribut protect
contribut sever
contribut signific
contribut soil
contribut sustain
contributor
control
control abund
control adjac
control agent
control aphid
control area
control artifici
control buffer
control cabbag
control cereal
control condit
control crop
control diffus
control drainag
control field
control follow
control food
control insect
control landscap
control margin
control measur
control nonpoint
control nutrient
control orchard
control pest
control plant
control plot
control potenti
control result
control runoff
control sediment
control site
control soil
control treatment
control use
control veget
control water
control watersh
convent
convent arabl
convent crop
convent farm
convent field
convent manag
convent organ
convent site
convent tillag
conventionaltil
converg
converg diverg
converg ratio
converg time
convers
convert
convert buffer
cooccurr
cool
cool season
coolseason
coolseason grass
cooper
coordin
copper
coppic
core
core sampl
corg
corn
corn belt
corn borer
corn bunt
corn control
corn field
corn requir
corn runoff
corn soybean
corn yield
corn zea
corner
cornfield
corniculatus
cornsoybean
cornsoybean rotat
correct
correl
correl age
correl analysi
correl densiti
correl measur
correl percentag
correl plant
correl soil
correl speci
correl strong
correspond
correspond analysi
correspond reduct
corridor
corridor forest
corridor function
cost
cost effect
costeffect
costeffect degre
cotton
cotton aphid
cotton field
cotton gossypium
cottonwood
cottonwood tree
count
count use
counteract
counteract negat
counterpart
counti
counti iowa
countri
countri agrienviron
countri result
countrysid
countrysid stewardship
coupl
cours
covari
cover
cover allow
cover border
cover buffer
cover composit
cover crop
cover did
cover differ
cover explain
cover general
cover grass
cover hedgerow
cover includ
cover increas
cover landscap
cover model
cover onli
cover plant
cover relat
cover riparian
cover seed
cover shelterbelt
cover signific
cover soil
cover speci
cover type
cover use
coverag
cow
creat
creat germin
creat strip
creation
creation habitat
creation manag
creation wide
creek
creek compar
creek watersh
creep
cricket
cricket gryllus
criteria
criterion
critic
crop
crop adjac
crop affect
crop agricultur
crop arabl
crop area
crop associ
crop benefit
crop centr
crop close
crop conserv
crop contrast
crop corn
crop damag
crop date
crop did
crop differ
crop dure
crop edg
crop especi
crop experiment
crop field
crop flower
crop forest
crop grass
crop grassland
crop grown
crop growth
crop habitat
crop hedgerow
crop import
crop includ
crop increas
crop indic
crop insect
crop landscap
crop manag
crop mani
crop margin
crop natur
crop noncrop
crop observ
crop open
crop pastur
crop pattern
crop pest
crop plant
crop posit
crop prefer
crop present
crop product
crop provid
crop reduc
crop relat
crop remain
crop residu
crop riparian
crop rotat
crop sampl
crop seed
crop signific
crop soil
crop speci
crop surround
crop total
crop treatment
crop type
crop use
crop variabl
crop weed
crop wild
crop winter
crop year
crop yield
cropdomin
cropland
cropland border
cropland runoff
cropland soil
cropland sourc
cropland test
cross
cross shelterbelt
crosscompli
crown
crucial
crust
cuckoo
cultiv
cultiv area
cultiv clear
cultiv fallow
cultiv farmland
cultiv field
cultiv land
cultiv landscap
cultiv margin
cultiv region
cultiv soil
cultiv suggest
cultiv uncultiv
cultivar
cultur
cultur landscap
cumul
cumul rainfal
cumul runoff
cupressus
cupressus macrocarpa
cupreus
current
current agricultur
current manag
current polici
current spatial
current studi
curruca
curv
curv suggest
cut
cut autumn
cut ensur
cut frequenc
cut graze
cut hay
cut leav
cut manag
cut margin
cut materi
cut mitig
cut patch
cut reduc
cut regim
cut remov
cut sow
cut spring
cut veget
cut winter
cycl
dactyli
dactyli glomerata
dactyloid
daili
daili rainfal
dairi
dairi cow
dairi farm
dairi product
dakota
dam
damag
damag crop
damag field
damag greater
damag higher
damag oilse
damag rate
damselfli
damselfli popul
dan
danish
daphnia
daphnia magna
data
data abund
data analysi
data collect
data combin
data compar
data demonstr
data forag
data howev
data indic
data measur
