"","data.lens_id","data.title","data.publication_type","data.year_published","first_name","last_name","initials","type","value","Author"
"24","112-148-110-351-322","Effect of landscape structure and dynamics on species diversity in hedgerow networks","journal article",1992,"Françoise","Burel","F","magid","2924376891","Burel, F"
"25","053-830-117-088-153","Effects of landscape dynamics on the metapopulation of a ground beetle (Coleoptera, Carabidae) in a hedgerow network","journal article",1998,"Françoise","Burel","F","magid","2277833683","Burel, F"
"26","067-070-378-841-691","Field boundary habitats for wildlife, crop and environmental protection","book chapter",2001,"Françoise","Burel","F","magid","2924376891","Burel, F"
"27","028-917-029-117-685","Field margins plant assemblages: variation partitioning between local and landscape factors","journal article",1997,"Françoise","Burel","F","magid","2924376891","Burel, F"
"28","126-422-348-422-052","Grassy strips in their landscape context, their role as new habitat for biodiversity","journal article",2013,"Françoise","Burel","F","magid","2277833683","Burel, F"
"29","047-949-455-932-004","Hedgerows and Their Role in Agricultural Landscapes","journal article",1996,"Françoise","Burel","F","magid","2924376891","Burel, F"
"30","113-790-282-907-897","Landscape context and carabid beetles (Coleoptera: Carabidae) communities of hedgerows in western France","journal article",2003,"Françoise","Burel","F","magid","2924376891","Burel, F"
"31","016-915-486-723-598","Social, aesthetic and ecological aspects of hedgerows in rural landscapes as a framework for greenways","journal article",1995,"Françoise","Burel","F","magid","2924376891","Burel, F"
"32","030-687-368-519-743","Assessing multiregion avian benefits from strategically targeted agricultural buffers.","journal article",2014,"L. Wes","Burger","LW","magid","2150899759","Burger, LW"
"33","082-042-151-776-261","Avian response to conservation buffers in agricultural landscapes during winter","journal article",2014,"L. Wes","Burger","LW","magid","2150899759","Burger, LW"
"34","007-345-255-242-473","DENSITY AND DIVERSITY OF OVERWINTERING BIRDS IN MANAGED FIELD BORDERS IN MISSISSIPPI","journal article",2005,"L. Wes","Burger","LW","magid","2150899759","Burger, LW"
"35","021-253-273-393-530","Disturbance and landscape effects on avian nests in agricultural conservation buffers","journal article",2013,"L. Wes","Burger","LW","magid","2150899759","Burger, LW"
"36","024-211-464-427-813","Effects of Set-aside Conservation Practices on Bird Community Structure within an Intensive Agricultural Landscape","journal article",2014,"L. Wes","Burger","LW","magid","2150899759","Burger, LW"
"37","133-025-020-758-454","Effects of conservation practices on bird nest density and survival in intensive agriculture","journal article",2011,"L. Wes","Burger","LW","magid","2150899759","Burger, LW"
"38","039-638-041-216-835","Effects of managing semi-natural grassland buffers on butterflies","journal article",2012,"L. W.","Burger","LW","magid","3178819166","Burger, LW"
"39","094-416-845-662-41X","Evaluating butterflies as surrogates for birds and plants in semi-natural grassland buffers","journal article",2014,"L. Wes","Burger","LW","magid","2150899759","Burger, LW"
"40","164-686-630-818-824","Fire Ant Response to Management of Native Grass Conservation Buffers","journal article",2011,"L. Wes","Burger","LW","magid","2150899759","Burger, LW"
"41","089-483-582-783-963","Grassland bird nest ecology and survival in upland habitat buffers near wooded edges","journal article",2011,"L. Wes","Burger","LW","magid","2150899759","Burger, LW"
"42","128-130-250-855-94X","Multi‐region response to conservation buffers targeted for northern bobwhite","journal article",2013,"L. Wes","Burger","LW","magid","2150899759","Burger, LW"
"43","034-308-643-508-970","Population Response of Northern Bobwhite to Field Border Management Practices in Mississippi",NA,2009,"L. Wes","Burger","LW","magid","2150899759","Burger, LW"
"44","000-281-554-875-962","Winter Avian Community and Sparrow Response to Field Border Width","journal article",2007,"L. Wes","Burger","LW","magid","2150899759","Burger, LW"
"45","113-057-949-435-76X","Groundwater nitrate following installation of a vegetated riparian buffer.","journal article",2007,"Michael R.","Burkart","MR","magid","2484271966","Burkart, MR"
"46","069-958-402-712-115","Spatial patterns of sediment and phosphorus in a riparian buffer in western Iowa","journal article",2007,"Michael R.","Burkart","MR","magid","2111030262","Burkart, MR"
"47","148-263-999-064-343","Gryllus pennsylvanicus (Orthoptera: Gryllidae): Laboratory Weed Seed Predation and Within Field Activity-Density","journal article",1999,"Dora M.","Carmona","DM","magid","2661713076","Carmona, DM"
"48","082-091-227-062-603","Influence of Refuge Habitats and Cover Crops on Seasonal Activity-Density of Ground Beetles (Coleoptera: Carabidae) in Field Crops","journal article",1999,"Dora Mabel","Carmona","DM","magid","2168280740","Carmona, DM"
"49","018-963-315-264-63X","Habitat selection of the Eurasian woodcock in winter in relation to earthworms availability","journal article",2005,"Eve","Corda","E","magid","2718685829","Corda, E"
"50","063-149-977-873-288","Impact of habitat management on grey partridge populations: assessing wildlife cover using a multisite BACI experiment","journal article",2004,"Eve","Corda","E","magid","2688966438","Corda, E"
"51","031-862-039-493-29X","Effectiveness of new agri-environment schemes in providing foraging resources for bumblebees in intensively farmed landscapes","journal article",2006,"C.N.R.","Critchley","CNR","magid","2423641952","Critchley, CNR"
"52","014-229-118-471-777","Habitat establishment on arable land: assessment of an agri-environment scheme in England, UK","journal article",2004,"C. Nigel R.","Critchley","CNR","magid","2760876195","Critchley, CNR"
"53","036-164-148-520-238","The conservation of arable plants on cereal field margins: An assessment of new agri-environment scheme options in England, UK","journal article",2007,"C.N.R.","Critchley","CNR","magid","2423641952","Critchley, CNR"
"54","047-022-834-071-036","A comparison of green lanes and field margins as bumblebee habitat in an arable landscape","journal article",2002,"P. J.","Croxton","PJ","magid","2228367754","Croxton, PJ"
"55","094-060-953-943-724","A farm-scale evaluation of the influence of hedgerow cutting frequency on hawthorn (Crataegus monogyna) berry yields","journal article",2002,"P.J.","Croxton","PJ","magid","1988552287","Croxton, PJ"
"56","023-224-624-508-927","Linear hotspots? The floral and butterfly diversity of green lanes","journal article",2005,"P.J.","Croxton","PJ","magid","1988552287","Croxton, PJ"
"57","034-662-603-831-951","Long-term effects of hedgerow management policies on resource provision for wildlife","journal article",2012,"P. J.","Croxton","PJ","magid","2228367754","Croxton, PJ"
"58","067-011-083-064-581","How Management of Grass Hedges Affects their Erosion Reduction Potential","journal article",2009,"R. F.","Cullum","RF","magid","2677325151","Cullum, RF"
"59","109-953-506-304-374","Runoff and soil loss from ultra-narrow row cotton plots with and without stiff-grass hedges","journal article",2007,"R. F.","Cullum","RF","magid","1857011976","Cullum, RF"
"60","160-731-468-790-548","Biodiversity and agro-ecology in field margins.","journal article",2005,"B","De Cauwer","B","magid","2132791231","De Cauwer, B"
"61","007-487-002-906-765","Disturbance effects on early succession of field margins along the shaded and unshaded side of a tree lane","journal article",2006,"Benny","De Cauwer","B","magid","60885406","De Cauwer, B"
"62","046-962-971-580-754","Dry matter yield and herbage quality of field margin vegetation as a function of vegetation development and management regime","journal article",2006,"B","De Cauwer","B","magid","2132791231","De Cauwer, B"
"63","040-851-297-121-31X","Effect of margin strips on soil mineral nitrogen and plant biodiversity","journal article",2006,"Benny","De Cauwer","B","magid","60885406","De Cauwer, B"
"64","161-300-804-429-199","Evolution of the vegetation of mown field margins over their first 3 years","journal article",2005,"Benny","De Cauwer","B","magid","60885406","De Cauwer, B"
"65","070-239-213-610-528","Management of newly established field margins on nutrient‐rich soil to reduce weed spread and seed rain into adjacent crops","journal article",2008,"B","De Cauwer","B","magid","2132791231","De Cauwer, B"
"66","039-638-041-216-835","Effects of managing semi-natural grassland buffers on butterflies","journal article",2012,"J. G.","Dollar","JG","magid","2872534606","Dollar, JG"
"67","094-416-845-662-41X","Evaluating butterflies as surrogates for birds and plants in semi-natural grassland buffers","journal article",2014,"Jolie G.","Dollar","JG","magid","2112395989","Dollar, JG"
"68","164-686-630-818-824","Fire Ant Response to Management of Native Grass Conservation Buffers","journal article",2011,"Jolie G.","Dollar","JG","magid","2112395989","Dollar, JG"
"69","054-142-450-794-649","Change in filter strip performance over ten years","journal article",2007,"M.G.","Dosskey","MG","magid","2684909858","Dosskey, MG"
"70","111-288-588-656-115","Filter strip performance and processes for different vegetation, widths, and contaminants","journal article",1999,"M. G.","Dosskey","MG","magid","2793022476","Dosskey, MG"
"71","053-514-836-557-388","Modeling sediment trapping in a vegetative filter accounting for converging overland flow","journal article",2005,"Michael G.","Dosskey","MG","magid","1971355974","Dosskey, MG"
"72","068-617-156-096-270","Chloride concentration distribution under oak hedgerow: an indicator of the water-uptake zone of tree roots?","journal article",2014,"Gilles","Dutin","G","magid","2764292372","Dutin, G"
"73","169-707-009-361-549","Induced effects of hedgerow networks on soil organic carbon storage within an agricultural landscape","journal article",2007,"Gilles","Dutin","G","magid","2764292372","Dutin, G"
"74","072-112-091-638-200","The effect of hedgerows on soil organic carbon storage in hillslopes","journal article",2003,"G.","Dutin","G","magid","2808773257","Dutin, G"
"75","120-459-430-696-467","Hedgerow effects on the distribution of beneficial arthropods in a pear orchard in Southern France","journal article",2011,"Thierry","Dutoit","T","magid","410375806","Dutoit, T"
"76","013-939-745-945-097","Hedgerow effects on the distribution of beneficial arthropods in a pear orchard in Southern France Effet des haies sur la distribution des arthropodes auxiliaires en verger de poiriers dans le sud de la France",NA,2011,"T.","Dutoit","T","magid","2696018409","Dutoit, T"
"77","158-291-537-040-153","Spatial distribution of an arthropod community in a pear orchard (southern France): Identification of a hedge effect","journal article",2008,"Thierry","Dutoit","T","magid","3114473581","Dutoit, T"
"78","110-419-567-105-817","Concentrated flow paths in riparian buffer zones of southern Illinois","journal article",2011,"Pamela J.","Edwards","PJ","magid","2164558504","Edwards, PJ"
"79","048-697-400-170-792","Dispersal and persistence of mass released Trichogramma brassicae (Hymenoptera: Trichogrammatidae) in non-target habitats","journal article",2003,"Peter J.","Edwards","PJ","magid","2173160061","Edwards, PJ"
"80","044-750-571-884-583","Narrow Grass Hedge Effects on Nutrient Transport Following Compost Application","journal article",2008,"Bahman","Eghball","B","magid","201639963","Eghball, B"
"81","197-430-645-554-460","Narrow Grass Hedge Effects on Phosphorus and Nitrogen in Runoff Following Manure and Fertilizer Application","journal article",2000,"Bahman","Eghball","B","magid","2832089597","Eghball, B"
"82","057-131-240-501-938","Narrow grass hedge effects on runoff and soil loss.","journal article",2000,"Bahman","Eghball","B","magid","2832089597","Eghball, B"
"83","055-225-885-800-155","Riparian forest buffers on agricultural lands in the Oregon coast range : Beaver Creek riparian project as a case study",NA,2002,"William H.","Emmingham","WH","magid","668900349","Emmingham, WH"
"84","099-454-889-198-128","Tree buffers along streams on western Oregon farmland",NA,2005,"William H.","Emmingham","WH","magid","2980463621","Emmingham, WH"
"85","077-464-872-407-131","Conservation Buffers and Ecological Weed Management in Southeast Organic Cropping Systems: Weed Seedbanks and Weed Seed Predators.",NA,2013,"Aaron Freeman","Fox","AF","magid","2676689296","Fox, AF"
"86","004-334-484-941-427","The Influence of Habitat Manipulations on Beneficial Ground-Dwelling Arthropods in a Southeast US Organic Cropping System","journal article",2015,"Aaron F.","Fox","AF","magid","2154441883","Fox, AF"
"87","019-658-253-028-863","Effects of grassy banks on the dispersal of some carabid beetles (Coleoptera: Carabidae) on farmland.","journal article",1995,"Geoffrey K.","Frampton","GK","magid","2261690022","Frampton, GK"
"88","199-676-449-388-832","Population dynamics of epigeic Collembola in arable fields: the importance of hedgerow proximity and crop type",NA,1997,"Geoff K","Frampton","GK","magid","2098462634","Frampton, GK"
"89","059-726-400-628-520","Effectiveness of Grass Filters in Reducing Phosphorus and Sediment Runoff","journal article",2012,"Thomas G.","Franti","TG","magid","2251024960","Franti, TG"
"90","018-103-292-961-116","Flow pathways and sediment trapping in a field-scale vegetative filter","journal article",2005,"Thomas G.","Franti","TG","magid","2681877430","Franti, TG"
"91","053-514-836-557-388","Modeling sediment trapping in a vegetative filter accounting for converging overland flow","journal article",2005,"Thomas G.","Franti","TG","magid","2251024960","Franti, TG"
"92","019-658-253-028-863","Effects of grassy banks on the dispersal of some carabid beetles (Coleoptera: Carabidae) on farmland.","journal article",1995,"Gareth L.A.","Fry","GLA","magid","2712284677","Fry, GLA"
"93","055-083-398-263-398","Field margins: can they enhance natural enemy population densities and general arthropod diversity on farmland?","journal article",1992,"Gary L.A.","Fry","GLA","magid","2713504129","Fry, GLA"
"94","116-145-842-005-662","Changes in bird populations on sample lowland English farms in relation to loss of hedgerows and other non-crop habitats","journal article",1998,"Robert J.","Fuller","RJ","magid","2096759130","Fuller, RJ"
"95","119-209-557-350-650","Distributions of birds in lowland agricultural landscapes of England and Wales: How distinctive are bird communities of hedgerows and woodland?","journal article",2001,"Robert J.","Fuller","RJ","magid","2096759130","Fuller, RJ"
"96","062-596-523-853-58X","Do field margin characteristics influence songbird nest‐site selection in adjacent hedgerows?","journal article",2010,"Robert J.","Fuller","RJ","magid","2096759130","Fuller, RJ"
"97","000-140-507-815-44X","Landscape composition models for breeding bird populations in lowland English farmland over a 20 year period","journal article",1997,"R. J.","Fuller","RJ","magid","2555564744","Fuller, RJ"
"98","056-244-188-471-763","Agri-environment schemes and butterflies: the utilisation of 6 m grass margins","journal article",2005,"Tim","Gardiner","T","magid","2120573253","Gardiner, T"
"99","018-860-777-046-547","Agri-environment schemes and butterflies: the utilisation of two metre arable field margins","journal article",2006,"Tim","Gardiner","T","magid","2120573253","Gardiner, T"
"100","020-369-517-335-627","Countryside Stewardship Scheme and butterflies: a study of plant and butterfly species richness","journal article",NA,"Tim","Gardiner","T","magid","2120573253","Gardiner, T"
"101","042-705-630-037-945","Is microclimate important for Orthoptera in open landscapes","journal article",2007,"Tim","Gardiner","T","magid","2799511157","Gardiner, T"
"102","087-588-810-431-870","Orthoptera of crossfield and headland footpaths in arable farmland","journal article",2007,"Tim","Gardiner","T","magid","2799511157","Gardiner, T"
"103","071-167-876-727-598","Agroforestry and Grass Buffer Effects on Pore Characteristics Measured by High-Resolution X-ray Computed Tomography","journal article",2008,"Harold E.","Garrett","HE","magid","2112883227","Garrett, HE"
"104","175-196-769-643-19X","Agroforestry and grass buffer effects on water quality in grazed pastures","journal article",2010,"Harold E.","Garrett","HE","magid","2112883227","Garrett, HE"
"105","192-254-811-022-071","Agroforestry and grass buffer effects on water quality on grazed pasture watersheds.",NA,2009,"H. E.","Garrett","HE","magid","3180815816","Garrett, HE"
"106","088-017-310-971-747","Agroforestry practices, runoff, and nutrient loss: a paired watershed comparison.","journal article",2002,"Harold E.","Garrett","HE","magid","2112883227","Garrett, HE"
"107","072-296-667-465-701","Growth of three oak species during establishment of an agroforestry practice for watershed protection","journal article",2005,"Harold E.","Garrett","HE","magid","2112883227","Garrett, HE"
"108","120-461-617-171-612","Reducing herbicides and veterinary antibiotics losses from agroecosystems using vegetative buffers.","journal article",2011,"Harold E.","Garrett","HE","magid","2112883227","Garrett, HE"
"109","024-043-475-626-80X","Soil water content and infiltration in agroforestry buffer strips","journal article",2008,"Harold E.","Garrett","HE","magid","2112883227","Garrett, HE"
"110","041-833-491-485-587","NARROW GRASS HEDGE CONTROL OF NUTRIENT LOADS FOLLOWING VARIABLE MANURE APPLICATIONS","journal article",2011,"John E.","Gilley","JE","magid","2153462941","Gilley, JE"
"111","044-750-571-884-583","Narrow Grass Hedge Effects on Nutrient Transport Following Compost Application","journal article",2008,"John E.","Gilley","JE","magid","2153462941","Gilley, JE"
"112","054-175-312-792-494","Narrow Grass Hedge Effects on Nutrient Transport Following Swine Slurry Application","journal article",2013,"John E.","Gilley","JE","magid","3117351576","Gilley, JE"
"113","197-430-645-554-460","Narrow Grass Hedge Effects on Phosphorus and Nitrogen in Runoff Following Manure and Fertilizer Application","journal article",2000,"John E.","Gilley","JE","magid","2153462941","Gilley, JE"
"114","057-131-240-501-938","Narrow grass hedge effects on runoff and soil loss.","journal article",2000,"John E.","Gilley","JE","magid","2153462941","Gilley, JE"
"115","010-053-670-894-050","Narrow grass hedges reduce tylosin and associated antimicrobial resistance genes in agricultural runoff.","journal article",2015,"John E.","Gilley","JE","magid","2153462941","Gilley, JE"
"116","127-087-902-208-709","Soil Carbon Accumulation under Switchgrass Barriers","journal article",2014,"John E.","Gilley","JE","magid","3117351576","Gilley, JE"
"117","182-906-730-748-020","Modeling hydrology and sediment transport in vegetative filter strips","journal article",1999,"J. Wendell","Gilliam","JW","magid","2070281803","Gilliam, JW"
"118","082-797-391-654-568","Sediment and Chemical Load Reduction by Grass and Riparian Filters","journal article",1996,"J. W.","Gilliam","JW","magid","2565660511","Gilliam, JW"
"119","056-419-455-186-425","The effect of riparian buffers with controlled drainage on soil redox potential.",NA,2010,"J. W.","Gilliam","JW","magid","2145334004","Gilliam, JW"
"120","102-215-497-936-230","Tracing nitrate transport and environmental impact from intensive swine farming using delta nitrogen-15.","journal article",2001,"J. Wendell","Gilliam","JW","magid","2070281803","Gilliam, JW"
"121","068-442-297-719-812","Groundwater Nitrate Concentration Reductions in a Riparian Buffer Enrolled in the NC Conservation Reserve Enhancement Program","journal article",2014,"Garry L.","Grabow","GL","magid","2048417577","Grabow, GL"
"122","087-909-418-446-095","Groundwater Nitrate Reductions Within Upstream and Downstream Sections of Riparian Buffers","conference proceedings article",2011,"Garry L.","Grabow","GL","magid","2703779712","Grabow, GL"
"123","011-077-705-074-70X","An evaluation of the benefits and costs of in-field shelterbelts in Midwestern USA","dissertation",NA,"Robert Konrad","Grala","RK","magid","2907704750","Grala, RK"
"124","072-009-117-052-692","Impact of field windbreaks on visual appearance of agricultural lands","journal article",2010,"Robert K.","Grala","RK","magid","2047673052","Grala, RK"
"125","012-567-135-978-958","Higher-tier agri-environment scheme enhances breeding densities of some priority farmland birds in England","journal article",2015,"Philip V.","Grice","PV","magid","2132890577","Grice, PV"
"126","048-380-117-228-260","Influence of agri-environment scheme options on territory settlement by Yellowhammer (Emberiza citronella) and Corn Bunting (Emberiza calandra)","journal article",2015,"Philip V.","Grice","PV","magid","2132890577","Grice, PV"
"127","159-938-497-832-818","Landscape‐scale responses of birds to agri‐environment management: a test of the English Environmental Stewardship scheme","journal article",2012,"Phil V.","Grice","PV","magid","2078615988","Grice, PV"
"128","061-472-431-665-855","The effect of agri-environment schemes on grey partridges at the farm level in England","journal article",2010,"Philip V.","Grice","PV","magid","2132890577","Grice, PV"
"129","014-229-118-471-777","Habitat establishment on arable land: assessment of an agri-environment scheme in England, UK","journal article",2004,"Anna L","Gundrey","AL","magid","2630213313","Gundrey, AL"
"130","020-024-935-817-641","The potential of grass field margin management for enhancing beetle diversity in intensive livestock farms","journal article",2006,"A. L.","Gundrey","AL","magid","1901836219","Gundrey, AL"
"131","080-086-175-670-914","Improving the farmland biodiversity value of riparian buffer strips: conflicts and compromises.","journal article",2012,"W","Harrison","W","magid","2980501678","Harrison, W"
"132","030-766-878-238-058","The influence of riparian buffer strips on carabid beetle (Coleoptera, Carabidae) assemblage structure and diversity in intensively managed grassland fields","journal article",2007,"William","Harrison","W","magid","2228816081","Harrison, W"
"133","187-603-367-498-373","Effects of seed mixture and management on beetle assemblages of arable field margins","journal article",2008,"Jenifer","Harrison-Cripps","J","magid","2515983417","Harrison-Cripps, J"
"134","081-198-292-463-95X","Responses of invertebrate trophic level, feeding guild and body size to the management of improved grassland field margins","journal article",2009,"Jennifer","Harrison-Cripps","J","magid","1995696869","Harrison-Cripps, J"
"135","133-215-158-664-466","Manipulating the abundance of Lepthyphantes tenuis (Araneae: Linyphiidae) by field margin management","journal article",2002,"Alison J.","Haughton","AJ","magid","3177368442","Haughton, AJ"
"136","191-484-582-462-838","Pseudoscorpions in Field Margins: Effects of Margin Age, Management and Boundary Habitats","journal article",1999,"A. J.","Haughton","AJ","magid","1880848158","Haughton, AJ"
"137","047-647-835-437-685","Strip‐management in rape crop: is winter rape endangered by negative impacts of sown weed strips?","journal article",1996,"A.","Hausammann","A","magid","2279446159","Hausammann, A"
"138","060-884-804-074-471","The effects of weed strip-management on pests and beneficial arthropods in winter wheat fields",NA,1996,"A.","Hausammann","A","magid","2704085292","Hausammann, A"
"139","010-193-923-056-157","Denitrification in riparian buffer zones : the role of floodplain hydrology","journal article",1999,"N. E.","Haycock","NE","magid","2963183393","Haycock, NE"
"140","150-539-908-471-485","Groundwater nitrate dynamics in grass and poplar vegetated riparian buffer strips during the winter","journal article",1993,"N.E.","Haycock","NE","magid","2637350545","Haycock, NE"
"141","076-551-861-300-215","Water table fluctuations in the riparian zone: comparative results from a pan-European experiment","journal article",2002,"N.E","Haycock","NE","magid","2629351487","Haycock, NE"
"142","066-696-436-185-636","Effects of Swiss agri-environmental measures on arthropod biodiversity in arable landscapes","journal article",2007,"F.","Herzog","F","magid","3060985268","Herzog, F"
"143","004-703-632-577-796","Effects of Wildflower Strip Quality, Quantity, and Connectivity on Butterfly Diversity in a Swiss Arable Landscape","journal article",2010,"Felix","Herzog","F","magid","2126549186","Herzog, F"
"144","073-170-131-117-322","What is the role of local landscape structure in the vegetation composition of field boundaries","journal article",2008,"Felix","Herzog","F","magid","2126549186","Herzog, F"
"145","070-043-160-900-85X","Diversifying Agricultural Catchments by Incorporating Tallgrass Prairie Buffer Strips","journal article",2013,"Sarah M.","Hirsh","SM","magid","2635499295","Hirsh, SM"
"146","012-199-787-995-212","Diversifying monoculture crops by incorporating prairie buffer strips","dissertation",NA,"Sarah Marie","Hirsh","SM","magid","2711233669","Hirsh, SM"
"147","054-142-450-794-649","Change in filter strip performance over ten years","journal article",2007,"K.D.","Hoagland","KD","magid","2659214199","Hoagland, KD"
"148","111-288-588-656-115","Filter strip performance and processes for different vegetation, widths, and contaminants","journal article",1999,"K. D.","Hoagland","KD","magid","2791690635","Hoagland, KD"
"149","010-640-663-195-282","Effects of perennial grass strips on spiders (Araneae) in cereal fields and impact on pesticide side-effects","journal article",1998,"E.","Huusela-Veistola","E","magid","2703823451","Huusela-Veistola, E"
"150","023-384-983-746-129","Reverse influence of riparian buffer width on herbivorous and predatory Hemiptera","journal article",2014,"Erja","Huusela-Veistola","E","magid","2620733497","Huusela-Veistola, E"
"151","109-858-282-831-697","Ability of Remnant Riparian Forests, With and Without Grass Filters, to Buffer Concentrated Surface Runoff","journal article",2010,"Thomas M.","Isenhart","TM","magid","1978911463","Isenhart, TM"
"152","122-193-974-026-944","Aggregate-Size Stability Distribution and Soil Stability","journal article",2004,"Thomas M.","Isenhart","TM","magid","1978911463","Isenhart, TM"
"153","070-816-613-195-842","Assemblage and Population-Level Responses of Stream Fish to Riparian Buffers at Multiple Spatial Scales","journal article",2010,"Thomas M.","Isenhart","TM","magid","3187419915","Isenhart, TM"
"154","180-524-585-737-168","Assessing soil quality in a riparian buffer by testing organic matter fractions in central Iowa, USA","journal article",1998,"Thomas M.","Isenhart","TM","magid","1978911463","Isenhart, TM"
"155","000-933-635-218-121","Biomass, carbon and nitrogen dynamics of multi-species riparian buffers within an agricultural watershed in Iowa, USA","journal article",2003,"Thomas M.","Isenhart","TM","magid","1978911463","Isenhart, TM"
"156","034-730-675-555-708","Bird species diversity in riparian buffers, row crop fields, and grazed pastures within agriculturally dominated watersheds","journal article",2010,"Thomas M.","Isenhart","TM","magid","1978911463","Isenhart, TM"
"157","002-937-270-631-538","Design and placement of a multi-species riparian buffer strip system","journal article",1995,"Thomas M.","Isenhart","TM","magid","1978911463","Isenhart, TM"
"158","109-621-473-204-594","Enhanced Transpiration by Riparian Buffer Trees in Response to Advection in a Humid Temperate Agricultural Landscape","journal article",2011,"Thomas M.","Isenhart","TM","magid","1978911463","Isenhart, TM"
"159","039-417-821-306-699","Methane flux in cropland and adjacent riparian buffers with different vegetation covers.","journal article",2009,"Thomas M.","Isenhart","TM","magid","1978911463","Isenhart, TM"
