Item.ID,Short.Title,Title.x,Year,Period,Google.Scholar.link,Vegetated.strip.description.info,Nation,Study.country,Study.location,Latitude,Longitude,all_outcomes_subcat,all_outcomes_group,Observational,Manipulative,Study.length..years.,Time.since.intervention..years.,Plot.scale,Field.scale,Farm.scale,Catchment.scale,Regional.scale,Not.described,Q1,Q2,Q3,Q4,Not.described.2,Conventional,Organic,Not.described.3,Livestock,Livestock.info,Cropped.fields..arable.,Cropped.fields..arable..info,Horticulture,Horticulture.info,Viticulture,Viticulture.info,Fruit..orchard.,Fruit..orchard..info,Grassland,Grassland.info,Other..please.specify.,Other..please.specify..2,Not.described.4,Not.described.info,Grasses,Grasses.info,Wildflowers,Wildflowers.info,Shrubs,Shrubs2,Hedgerow,Hedgerow.info,Trees,Trees.info,Other..please.specify..3,Other..please.specify..info,Not.described.5,Not.described.info.2,Within.field,Field.edge,Riparian,Not.described.6,Unmanaged,Unmanaged.info,Soil.amendment,Soil.amendment.info,Soil.disturbed,Soil.disturbed.info,Cut,Cut.info,Grazed,Grazed.info,Harvested,Harvested.info,Sown.planted,Sown.planted.info,Pesticide,Pesticide.info,Managed..other.,Managed..other..info,Not.described.7,Not.described.info.3,Strip.presence,Strip.presence.info,Strip.location,Strip.location.info,Strip.type..dimension.,Strip.type..dimension..info,Strip.type..structure.,Strip.type..structure..info,Strip.management,Strip.management.info,Vegetation.type,Vegetation.type.info,Response.to.management,Response.to.management.info,Other..please.specify..4,Other..please.specify..info.2,Transect.into.field.across.vegetative.strip,Transect.into.field.across.vegetative.strip.info,Not.described.8,Not.described.info.4,Biodiversity..aquatic.,Biodiversity..aquatic..info,Biodiversity..semi.aquatic.,Biodiversity..semi.aquatic..info,Biodiversity..terrestrial.,Biodiversity..terrestrial..info,Pollination,Pollination.info,Game.species,Game.species.info,Pest.control,Pest.control.info,Nutrients.N,Nutrients.N.info,Nutrients.P,Nutrients.P.info,Soil.loss.retention,Soil.loss.retention.info,Soil.sediment..chemical..not.N.P.,Soil.sediment..chemical..not.N.P..info,Water.chemistry.quality..not.N.P.,Water.chemistry.quality..not.N.P..info,Soil.sediment..physical.,Soil.sediment..physical..info,Water.loss.retention,Water.loss.retention.info,Economic..farming.,Economic..farming..info,GHGs,GHGs.info,Pesticides,Pesticides.info,Toxins,Toxins.info,Wind,Wind.info,GM.pollen,GM.pollen.info,Crop.yield.farming.outputs,Crop.yield.farming.outputs.info,Social,Social.info,Recreation,Recreation.info,Other..please.specify..5,Other..please.specify..info.3,Pathogens,Pathogens.info,Non.crop.yield,Non.crop.yield.info,Light,Light.info,Physical.habitat,Physical.habitat.info,Climate.microclimate,Climate.microclimate.info,Microbes,Microbes.info,Organism.physiology.condition,Organism.physiology.condition.info,Food,Fresh.water,Fibre.and.fuel,Biochemical.products,Genetic.materials,Climate.regulation,Hydrological.regimes,Pollution.control,Erosion.protection,Natural.hazards,Pest.regulation,Nutrient.cycling,Spiritual.and.inspirational,Recreational,Aesthetic,Educational,Biodiversity,Pollination2,Soil.formation,Comments,lensID,Title.y,data.abstract,distance
20641979,Maalouly (2013),codling moth parasitism is affected by semi-natural habitats and agricultural practices at orchard and landscape levels,2013,2010-2014,http://scholar.google.co.uk/scholar?q=Codling+moth+parasitism+is+affected+by+semi-natural+habitats+and+agricultural+practices+at+orchard+a&btnG=&hl=en&as_sdt=0%2C5,Hedgerow,France,France,Lower Durance valley (3 47 11 N to 43 51 10 N and from 4 51 29 E to 4 59 25 E),43.981083,4.901572,Biodiversity (terrestrial);Pest control,Biodiversity;Human use,Observational,,5,Not stated,,,,,Regional scale,,,,Q3,Q4,,Conventional,,,,,,,,,,NA,Fruit (orchard),Apple,,,,,,,,,,,,,Hedgerow,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,Vegetation type,"""windbreak hedgerows (mainly monospecific hedgerows of Cupressaceae or Populus trees, approximately 10 m high and 3 m wide) that protect orchards against the prevailing northern winds (Ricci et al., 2009) and spontaneous hedgerows (based on Prunus and Cornus species) that display a very diversified flora (Deckers et al., 2004)""",,,,,,,,NA,,,,,Biodiversity (terrestrial),"Parasitoid community composition, moth (pest) parasitism, moth (pest) density",,,,,Pest control,"Parasitoid community composition, moth (pest) parasitism, moth (pest) density",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,Pest regulation,,,,,NA,Biodiversity,,,,079-251-925-726-464,codling moth parasitism is affected by semi-natural habitats and agricultural practices at orchard and landscape levels,NA,0
20642375,Syversen (2005),cold-climate vegetative buffer zones as pesticide-filters for surface runoff,2005,2005-2009,http://scholar.google.co.uk/scholar?q=Cold-climate+vegetative+buffer+zones+as+pesticide-filters+for+surface+runoff&btnG=&hl=en&as_sdt=0%2C5,Vegetative buffer zone,Norway,Norway,70km northeast of Oslo,60.112457,11.388377,Pesticides,Pollution,,Manipulative,3,3,Plot scale,,,,,,Q1,Q2,Q3,Q4,,Conventional,,,,,Cropped fields (arable),Cereal,,,,NA,,,,,,,,,,,,,,,,,,,Other (please specify),"""thistle [Circium arvense (L.) Scop.], common couch [Elytrigia repens repens (L.) Desv. Ex Nevski], timothy [Phleum pratense pratense L.], tufted hair grass [Deschàpsia cespitòsa cespitòsa (L.) Beauv] and meadow fescue [Festuca pratensis Huds.]""",,,,,,Not described,,,,,,,,,,,,,,,,,,,Not described,,Strip presence,With versus without buffer zone,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pesticides,"Glyphosate, AMPA (degradation compound of glyphosate), propiconazole, fenpropimorph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,Pollution control,,,,,,,,NA,,,,,029-955-498-003-641,cold-climate vegetative buffer zones as pesticide-filters for surface runoff,"Vegetative buffer zones adjacent to watercourses can be effective filters for diffuse pollution from agriculture. Several investigations, even during snowmelt season, have shown that retention of sediments and sediment-bound nutrients in runoff water has been high through buffer zones (BZ). It is likely that BZ also can be effective filters for sediment-bound pesticides. The retention of glyphosate, propiconazole, fenpropimorph and soil particles was studied in surface runoff experiments with 5 m wide buffer zones. Volume proportional samples were collected after each runoff episode (1999–2002). The distribution coefficient (K d ) shows moderate to high adsorption of the pesticides to the experimental soil. Results show average retention efficiency of about 51%, 48%, 85% and 34% for particles, glyphosate, propiconazole and fenpropimorph, respectively. The amount of AMPA (which is a degradation product of glyphosate), entering the BZ was high; approximately the same amount as for glyphosate. The retention efficiency through the BZ for AMPA was about 67%. There were no significant differences in removal efficiency (in %) between winter with snowmelt and summer. This is possibly due to detachment of coarser aggregates during winter, which trap more easily in the BZ. The conclusion based on this study suggests BZ to be contributors to reduced pesticide input to surface waters.",0
20642125,Olejniczak (2004),communities of soil microarthropods with special reference to collembola in midfield shelterbelts,2004,2000-2004,http://scholar.google.co.uk/scholar?q=Communities+of+soil+microarthropods+with+special+reference+to+collembola+in+midfield+shelterbelts&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,Poland,Poland,"Turew, General D Chlapowski Lanscape Park (52 01 N, 16 45 E)",52.058832,16.826234,Biodiversity (terrestrial),Biodiversity,Observational,,<1,7,Plot scale,,,,,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),Winter wheat,,,,NA,,,,,,,,,,,,,,,,,Trees,,,,,,Within field,,,,,,,,,,,,,,,,Sown/planted,,,,,,,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,,,NA,,,,,Biodiversity (terrestrial),"Soil microarthropod abundance, seasonal/population dynamics, community composition, diversity, and species richness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,NA,Biodiversity,,,,193-154-897-835-230,communities of soil microarthropods with special reference to collembola in midfield shelterbelts,NA,0
20642050,Meyling (2009),"community composition, host range and genetic structure of the fungal entomopathogen beauveria in adjoining agricultural and seminatural habitats",2009,2005-2009,"http://scholar.google.co.uk/scholar?q=Community+composition,+host+range+and+genetic+structure+of+the+fungal+entomopathogen+Beauveria+in+ad&btnG=&hl=en&as_sdt=0%2C5",Field margin,Denmark,Denmark,"Bakkegården, located at Taastrup, 20 km west of Copenhagen, Denmark (5540′N, 1218′E)",55.666655,12.300007,Pathogens,Pollution,Observational,,Not stated (at least 1),Not stated,Plot scale,,,,,,,,,,Not described,,Organic,,,,Cropped fields (arable),,,,,NA,,,,,,,,,,,,,,,Hedgerow,Hedgerow dominated by hawthorn (Crataegus monogyna) ,Trees,Poplar (Populus sp.) ,Other (please specify),"Herbaceous vegetation dominated by stinging nettles (Urtica dioica) and grasses, mostly Dactylis glomerata and Elytrigia repens (Poaceae)",,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,Vegetation type,soil vs hawthown vs nettle vs grass vs insects,,,,,Transect into field/across vegetative strip,Field vs hedgerow,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogens,Abundance of species of Beauveria (fungal entomopathic genus),,,,,,,,,,,,,,Fresh water,,NA,,,,Pollution control,,,Pest regulation,,,,,NA,,,,,002-034-649-696-718,"community composition, host range and genetic structure of the fungal entomopathogen beauveria in adjoining agricultural and seminatural habitats.","Although intensively investigated for biological control of insect pests, little is known about the ecology of the fungal entomopathogenic genus Beauveria in natural or agricultural habitats. In this study, we used molecular phylogenetic and genotypic information to infer species diversity, reproductive potential and genetic structure of Beauveria occurring within a single arable field and bordering hedgerow in Denmark. Isolates were sampled from cultivated field and hedgerow soils, from insects harbouring latent fungal infections, and from the phylloplanes of three plant species common in the hedgerow flora. A nuclear phylogeny of this local Beauveria assemblage resolved seven phylogenetic species, including (i) five phylogenetic species within Beauveria bassiana sensu stricto; (ii) Clade C, a taxonomically uncharacterized species that is morphologically indistinguishable but phylogenetically distant from B. bassiana s.s.; and (iii) Beauveria brongniartii. All seven species were present throughout the hedgerow habitat, including as infections in insects. Significantly, only B. bassiana s.s. phylogenetic species Eu_1 was isolated from tilled soils. Mating type polymerase chain reaction assays demonstrated that all five B. bassiana s.s. phylogenetic species possess bipolar outcrossing mating systems. Of these, only the Eu_1 population contained two mating types; however, a 31:2 skew in MAT1:MAT2 mating types suggests a low frequency of sexual reproduction in this population. The four remaining B. bassiana s.s. phylogenetic species were fixed for single mating types and these populations are evidently clonal. Multilocus microsatellite genotyping revealed polymorphism in all five phylogenetic species of B. bassiana s.s.; however, all show evidence of clonal genetic structure.",1
20642124,Olechowicz (2004),community structure of soil-litter macrofauna in shelterbelt and adjacent crop field,2004,2000-2004,http://scholar.google.co.uk/scholar?q=Community+structure+of+soil-litter+macrofauna+in+shelterbelt+and+adjacent+crop+field&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,Poland,Poland,"Turew, Poznan, west Poland",52.058832,16.826234,Biodiversity (terrestrial),Biodiversity,Observational,,2,6,Plot scale,,,,,,,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),"Maize, wheat",,,,NA,,,,,,,,,,,,,,,,,Trees,,,,,,Within field,,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,,,NA,,,,,Biodiversity (terrestrial),"Soil litter macrofauna biomass, density, species richness, diversity and composition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,NA,Biodiversity,,,,092-898-812-757-895,community structure of soil-litter macrofauna in shelterbelt and adjacent crop field,NA,0
20641398,Anan'eva (2008),comparative assessment of soil microbial biomass determined by the methods of direct microscopy and substrate-induced respiration,2008,2005-2009,http://scholar.google.co.uk/scholar?q=Comparative+assessment+of+soil+microbial+biomass+determined+by+the+methods+of+direct+microscopy+and+&btnG=&hl=en&as_sdt=0%2C5,Forest shelter belt,Russia,"Northwest, Central and South, Russia","Vorkuta, Moscow, and Volgograd",multiple,multiple,"Biodiversity (terrestrial);Soil/sediment (chemical, not N/P);Soil/sediment (physical)",Biodiversity;Soil chemistry;Soil physical,Observational,,Not stated,Not stated,,,,,Regional scale,,,,,,Not described,,,Not described,,,Cropped fields (arable),,,,,NA,,,,,Other (please specify),Fallow and meadow,,,,,,,,,,,Trees,Forest shelterbelt,,,,,,,,Not described,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,,,NA,,,,,Biodiversity (terrestrial),"Microbial biomass, fungal mycelial length, length of actinomycetes, fungal spore abundance, fungal spore diameter, microbial biomass carbon",,,,,,,,,,,,,"Soil/sediment (chemical, not N/P)","SOC, pH",,,Soil/sediment (physical),"Soilt texture (sand, silt, clay)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,Nutrient cycling,,,,NA,Biodiversity,,Soil formation,Very limited methodological detail,110-617-981-290-509,comparative assessment of soil microbial biomass determined by the methods of direct microscopy and substrate-induced respiration,"The content of microbial biomass (MB) was determined in samples of gray forest, chestnut, and tundra soils with different physicochemical properties (0.4-22.7% Corg; 8.4-26.8% silt particles; pH 4.3-8.4) by the methods of substrate-induced respiration (MB(SIR)) and direct microscopy (MB(M)). The samples of two upper soil layers, 0-5 and 5-10 cm (without plant litter), from different ecosystems (forest, forest shelter belt, meadow, fallow, and arable land) and elements of relief of interfluvial tundra (block/upper land plateau, depression between blocks) have been analyzed. The content of microbial biomass in the 0-5-cm soil layer was 216-8134 and 348-7513 microg C/g soil as measured by the methods of substrate-induced respiration and direct microscopy, respectively. The MB(SIR) and MB(M) values closely correlated with each other: r = 0.90 and 0.74 for 0-5 and 5-10 cm, respectively. The average MB(SIR)/MB(M) ratio was 90 and 60% for 0-5 and 5-10 cm, respectively. The portion of microbial carbon in total organic soil carbon was, on average, 4 and 3% (SIR) and 5 and 7% (direct microscopy) for 0-5 and 5-10 cm, respectively. Possible reasons for the differences between MB(SIR) and MB(M) values in the soils under study are discussed.",0
20641533,Carvell (2007),comparing the efficacy of agri-environment schemes to enhance bumble bee abundance and diversity on arable field margins,2007,2005-2009,http://scholar.google.co.uk/scholar?q=Comparing+the+efficacy+of+agri-environment+schemes+to+enhance+bumble+bee+abundance+and+diversity+on+&btnG=&hl=en&as_sdt=0%2C5,Field margin,UK,UK,"Central and eastern England (SU8389, SU5593, TL9614, TL4647, SP9761 and SE7766)",52.521106,-0.236602,Biodiversity (terrestrial),Biodiversity,,Manipulative,3,3,Plot scale,Field scale,,,Regional scale,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),Cereals,,,,NA,,,,,,,,,Grasses,"Tussoky grass mixture, natural regeneration, fine grass species (pollen and nectar mix)",Wildflowers,"Wildflower mixture, natural regeneration, legume species (pollen and nectar mix)",,,,,,,,,,,,Field edge,,,,,,,Soil disturbed,Light cultivation,Cut,Cuttings left/removed,,,,,Sown/planted,,,,,,,,Strip presence,No strip versus strips,,,,,,,Strip management,"1) Natural regeneration: Cut early September every year; cuttings left; lightly cultivated in late September every year; no herbicide, pesticide or fertilizer 2) Tussoky grass mixture: Sown in September 2001; cut in May and September 2002; uncut thereafter; no herbicide, pesticide or fertilizer 3) Wildflower mixture: Sown in September 2001; cut in May and early September 2002 then only in September 2003–04; cuttings removed; no herbicide, pesticide or fertilizer 4) Pollen and nectar mixture: Sown in September 2001; cut in May and early September 2002 then only in September 2003–04; cuttings removed; no herbicide, pesticide or fertilizer",Vegetation type,"1) Natural regeneration: Cut early September every year; cuttings left; lightly cultivated in late September every year; no herbicide, pesticide or fertilizer 2) Tussoky grass mixture: Sown in September 2001; cut in May and September 2002; uncut thereafter; no herbicide, pesticide or fertilizer 3) Wildflower mixture: Sown in September 2001; cut in May and early September 2002 then only in September 2003–04; cuttings removed; no herbicide, pesticide or fertilizer 4) Pollen and nectar mixture: Sown in September 2001; cut in May and early September 2002 then only in September 2003–04; cuttings removed; no herbicide, pesticide or fertilizer",,,,,,,,NA,,,,,Biodiversity (terrestrial),"Bumblebee abundance and species richness, flower abundance and species richness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,NA,Biodiversity,,,,003-460-280-575-85X,comparing the efficacy of agri-environment schemes to enhance bumble bee abundance and diversity on arable field margins,"1. Declines in abundance and diversity of bumble bees (Bombus spp.) in Europe have been linked to agricultural intensification and the resulting loss of suitable foraging and nesting habitats. Environmental Stewardship (ES) is a new scheme in England offering the opportunity to restore habitats of value for these important pollinators to agricultural land. Scientific evaluation of the options prescribed within the scheme is essential to ensure that their objectives are met and that the benefits can be realized by the full bumble bee species assemblage. 2. We compared the efficacy of different ES options for field margins on arable land in enhancing the abundance and diversity of flowering resources and foraging bumble bees. Our study was conducted over 3 years using a multisite experiment. 3. Overall, uncropped margins sown with mixtures containing nectar and pollen-producing plants were more effective in providing bumble bee forage than margins sown with a grass mix, allowed to regenerate naturally or managed as conservation headlands. 4. A mixture of agricultural legumes established quickly and attracted on average the highest total abundance and diversity of bumble bees, including the rare long-tongued species Bombus ruderatus and Bombus muscorum. However, marked differences were observed between species and sexes in their responses to field margin management over time. 5. A diverse mixture of native wildflowers attracted more of the shorter-tongued Bombus spp. and provided greater continuity of forage resources, especially early in the season. Allowing Cirsium spp. to flower on such margins also increased their attractiveness to male bumble bees. 6. Synthesis and applications. Our results suggest that the legume-based 'pollen and nectar flower mix', as prescribed under Entry Level Stewardship in England, can quickly provide a highly attractive forage resource for bumble bees, but that issues of seasonal flowering phenology and longevity of the mixture need to be addressed. Establishment of 'floristically enhanced margins' under Higher Level Stewardship will be important to provide diverse perennial communities of forage plants and to support a greater range of Bombus spp. and other pollinators. The population-level responses of bumble bees to introduced seed mixtures and other agri-environment options require further study in order to maximize the benefits of such schemes in intensively farmed landscapes. © 2006 The Authors.",0
20641479,Boutin (2001),comparing weed composition in natural and planted hedgerows and in herbaceous field margins adjacent to crop fields,2001,2000-2004,http://scholar.google.co.uk/scholar?q=Comparing+weed+composition+in+natural+and+planted+hedgerows+and+in+herbaceous+field+margins+adjacent&btnG=&hl=en&as_sdt=0%2C5,"Hedgerow, field margin",Canada,"Québec, Canada","South-western Quebec (45 40 N, 72 40 W)",45.666667,-72.666631,Biodiversity (terrestrial),Biodiversity,Observational,,<1,Not stated,Plot scale,,,,,,,,Q3,,,,,Not described,,,Cropped fields (arable),"Corn, soybean, peas, vegetables, small fruits or potatoes",,,,NA,,,,,,,,,,,,,Shrubs,,,,Trees,,Other (please specify),Herbaceous plants,,,,Field edge,,,Unmanaged,,,,,,,,,,,,Sown/planted,,,,,,,,,,,,,,,,,,Vegetation type,"Natural hedgerows, planted hedgerows, herbaceous field margins",,,,,,,,NA,,,,,Biodiversity (terrestrial),"Abundance of noxious weeds, other weeds, non-weeds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,NA,Biodiversity,,,,108-007-092-968-56X,comparing weed composition in natural and planted hedgerows and in herbaceous field margins adjacent to crop fields,"Hedgerows and field margins are common features of the agricultural landscape in southern Quebec. In the last decade, hedgerow establishment has been encouraged primarily for the prevention of soil erosion, though many farmers view them as reservoirs of invasive weeds and pests. In this study, we compared weed assemblages of several hedgerow types and herbaceous field margins. Ranking that takes into consideration weed abundance was clearly demonstrated: planted hedgerows > herbaceous field margins > natural woody hedgerows. The latter harboured many perennial plant species of less weedy propensity than planted hedgerows, which accommodated a larger number of weedy species. In planted hedgerows close to 50% of plants were weeds, even in their central position, although planted and natural hedgerows sheltered similar weed composition in their central parts. Likewise, most species inventoried in adjacent fields were weeds. Weeds characterising the central position of hedgerows/field margins were often speci...",0
20642137,Paine (2002),comparison of riparian plant communities under four land management systems in southwestern wisconsin,2002,2000-2004,http://scholar.google.co.uk/scholar?q=Comparison+of+riparian+plant+communities+under+four+land+management+systems+in+southwestern+Wisconsi&btnG=&hl=en&as_sdt=0%2C5,Buffer strip,USA,"Wisconsin, USA",Southern Wisconsin,42.807096,-89.60862,Biodiversity (terrestrial),Biodiversity,Observational,,<1,Not stated,,Field scale,,,,,,,Q3,,,,,Not described,,,Cropped fields (arable),,,,,NA,,,,,,,,,Grasses,,,,,,,,Trees,,,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,Vegetation type,Grassy versus woody buffer strips,,,,,,,,NA,,,,,Biodiversity (terrestrial),"Plant species richness, community composition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,NA,Biodiversity,,,,076-377-649-956-283,comparison of riparian plant communities under four land management systems in southwestern wisconsin,NA,0
20642272,Schroeder (2008),comparison of the phosphorus sorption characteristics of a conservation reserve buffer and an adjacent crop field,2008,2005-2009,http://scholar.google.co.uk/scholar?q=Comparison+of+the+Phosphorus+Sorption+Characteristics+of+a+Conservation+Reserve+Buffer+and+an+Adjace&btnG=&hl=en&as_sdt=0%2C5,Conservation buffer,USA,"Iowa, USA",flood plain of Tipton Creek in central Iowa,42.364535,-93.36514,"Nutrients P;Soil/sediment (chemical, not N/P);Soil/sediment (physical)",Soil chemistry;Soil chemistry;Soil physical,Observational,,Not stated,13,,,,Catchment scale,,,,,,,Not described,,,Not described,,,Cropped fields (arable),2 year rotation of corn-soybean,,,,NA,,,,,,,,,Grasses,switchgrass,,,,,,,,,,,,,,,,Not described,,,,,,,Cut,,,,,,Sown/planted,,,,Managed (other),burning,,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,Buffer vs adjacent field,,NA,,,,,,,,,,,,,,,Nutrients P,"Bray-1 extractable P, soil surface P sorbtion potential and binding energy",,,"Soil/sediment (chemical, not N/P)","Soil organic matter, Ca in soil, Mg in soil, soil pH",,,Soil/sediment (physical),"Percentage sand, silt and clay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,Pollution control,,,,Nutrient cycling,,,,NA,,,Soil formation,,053-451-836-636-97X,comparison of the phosphorus sorption characteristics of a conservation reserve buffer and an adjacent crop field,"The U.S. Department of Agriculture's Conservation Reserve Program (CRP) was established by the Food Security Act of 1985. Since its inception, thousands of acres of cropland in stream riparian zones have been converted to conservation buffers through the planting of trees and native grasses. The objectives of this study were to determine the phosphorus (P)–sorption characteristics of the surface soil in a 13‐year‐old CRP buffer and an adjacent continuously cropped production area from which the buffer was created and to assess differences in P‐sorption maxima and P‐buffering capacity between the sites. Phosphorus sorption was modeled with both the simple Langmuir and the two‐surface Langmuir equations. There were significant differences in all P‐sorption parameters between the cropped area and the buffer over most of the depth increments studied. The cropped area soil had higher sorption max (Smax), binding energy (k), and P equilibrium buffering capacity (PEBC) than the buffer soil. However, the buffer h...",0
20642160,Pellissier (2004),"comparison of the vegetation and seed bank on hedge banks of different ages in brittany, france",2004,2000-2004,"http://scholar.google.co.uk/scholar?q=Comparison+of+the+vegetation+and+seed+bank+on+hedge+banks+of+different+ages+in+Brittany,+France&btnG=&hl=en&as_sdt=0%2C5",Hedge bank,France,France,"Landes de Billé and Jaunousse, Brittany",48.164361,-1.557508,Biodiversity (terrestrial),Biodiversity,Observational,,<1,Not stated,,Field scale,,,,,Q1,Q2,,,,,,Not described,,,,,,,,NA,,,Grassland,,,,,,,,,,,,Hedgerow,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,,,Other (please specify),Hedge bank age,,,,NA,,,,,Biodiversity (terrestrial),"Vegetation species richness, seedling density and diversity (from seedbank)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,NA,Biodiversity,,,,028-702-034-669-072,"comparison of the vegetation and seed bank on hedge banks of different ages in brittany, france.","The composition of the herbaceous cover and the seed bank of old and recent hedge banks in Brittany were studied and compared. Concentration method was used for seed bank samples. Grime’s plant strategies were used to explain observed patterns. The analysis of the seed bank of these hedge banks showed that the species richness and diversity differed in relation to the date of construction of the hedge banks. The seed banks of recent hedge banks were richer and more diversified than those of old hedge banks. Differences in the floristic composition of the established plant cover between the recent and old hedge banks were determined by multivariate analyses. The species exclusively found in the seed bank and in the herb cover of recent hedge banks were mainly grassland species, whereas the species that only occurred on old hedge banks tended to be woodland species. The floristic composition of the two compartments (established vegetation and seed bank) was very different. A multivariate analysis revealed that the difference between the composition of the seed banks of recent and old hedge banks was less than that between the composition of the established vegetation and seed bank of hedge banks of the same age. Both seed bank and vegetation of recent hedge banks were dominated by ruderal species, whereas old hedge vegetation was dominated by stress-tolerant woodland species, indicating that mechanically constructed hedge banks may impose limitations on colonization by late woodland species.",1
20641478,Boutin (2006),"comparison of the vegetation and seedbanks of soybean fields, adjacent boundaries, and hedgerows in ontario",2006,2005-2009,"http://scholar.google.co.uk/scholar?q=Comparison+of+the+vegetation+and+seedbanks+of+soybean+fields,+adjacent+boundaries,+and+hedgerows+in+&btnG=&hl=en&as_sdt=0%2C5","Hedgerow, field boundary",Canada,"Ontario, Canada","Winchester (45 05 N, 75 25 W)",45.083333,-75.416667,"Biodiversity (terrestrial);Nutrients N;Nutrients P;Soil/sediment (chemical, not N/P);Soil/sediment (physical)",Biodiversity;Soil chemistry;Soil chemistry;Soil chemistry;Soil physical,Observational,,<1,Not stated,,Field scale,Farm scale,,,,,,Q3,,,Conventional,,,,,Cropped fields (arable),Soybean,,,,NA,,,,,,,,,,,,,,,Hedgerow,"""Woody hedgerows with several deciduous trees greater than 25 cm in diameter""",,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,,,NA,,,,,Biodiversity (terrestrial),"Plant species richness (weed, non-weed), seedbank abundance (weed, non-weed), seedbank species richness (weed, non-weed)",,,,,,,Nutrients N,Nitrogen (soil),Nutrients P,Phosphorus (soil),,,"Soil/sediment (chemical, not N/P)","pH, potassium, magnesium, organic matter, total salt",,,Soil/sediment (physical),"Sand, silt, clay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,Pollution control,,,,Nutrient cycling,,,,NA,Biodiversity,,Soil formation,,020-041-155-134-270,"comparison of the vegetation and seedbanks of soybean fields, adjacent boundaries, and hedgerows in ontario","Patterns of plant assemblages in habitats located within agroecosystems are poorly understood. A study of the seedbank and standing vegetation in 10 soybean [Glycine max (L.) Merr.] fields, their adjacent boundaries, and adjoining woody hedgerows was undertaken in Ontario. The objective was to examine the composition of plants of conservation value and weedy species in these habitats. The seedbank of each habitat was determined from soil cores in quadrats located at regular intervals along transects, using the seedling emergence method in the greenhouse. The vegetation was surveyed in plots adjacent to the seedbank sampling areas. There was no significant difference in total species richness of vegetation or the seedbank among habitat types. However, there was a marked difference in species composition. In the seedbank, no difference in weed species richness among habitats was observed. In vegetation, however, fields harboured significantly more weedy species than adjacent boundaries and hedgerows. The di...",0
